ATM_ID,Bank_Name,Branch_Name,City,Area,ATM_Type,Latitude,Longitude,Installation_Date
ATM1038,HDFC Bank,Indiranagar Branch,Bengaluru,Indiranagar,Offsite,13.01315,77.67496,2022-04-28 00:00:00
ATM1039,HDFC Bank,HSR Layout Branch,Bengaluru,HSR Layout,Onsite,12.99968,77.57558,2021-05-17 00:00:00
ATM1040,HDFC Bank,Yelahanka Branch,Bengaluru,Yelahanka,Offsite,12.96942,77.59515,2023-07-15 00:00:00
ATM1041,HDFC Bank,Andheri Branch,Mumbai,Andheri,Onsite,19.10361,72.8674,2021-04-17 00:00:00
ATM1042,HDFC Bank,Bandra Branch,Mumbai,Bandra,Offsite,19.03249,72.87172,2022-02-06 00:00:00
ATM1043,HDFC Bank,Powai Branch,Mumbai,Powai,Onsite,19.11296,72.89422,2023-05-19 00:00:00
ATM1044,HDFC Bank,Thane Branch,Mumbai,Thane,Offsite,19.06336,72.88502,2023-11-29 00:00:00
ATM1045,HDFC Bank,Dadar Branch,Mumbai,Dadar,Onsite,19.10684,72.86065,2024-04-06 00:00:00
ATM1046,HDFC Bank,Dwarka Branch,Delhi,Dwarka,Onsite,28.59624,77.22512,2022-11-29 00:00:00
ATM1047,HDFC Bank,Rohini Branch,Delhi,Rohini,Offsite,28.60948,77.17436,2022-10-19 00:00:00
ATM1048,HDFC Bank,Saket Branch,Delhi,Saket,Offsite,28.63124,77.21518,2022-12-23 00:00:00
ATM1049,HDFC Bank,Noida Branch,Delhi,Noida,Onsite,28.62992,77.21364,2024-01-19 00:00:00
ATM1050,HDFC Bank,Lajpat Nagar Branch,Delhi,Lajpat Nagar,Offsite,28.58762,77.19256,2022-05-22 00:00:00
