ATM_ID,Date,Opening_Cash,Cash_Loaded,Total_Withdrawal,Closing_Cash,Number_of_Transactions,Failed_Transactions,Downtime_Minutes,Customer_Complaints,Maintenance_Status,Refill_Date,Refill_Amount,Refill_Cost,Health_Score,Need_Refill,Days_Since_Last_Refill
ATM1007,12/1/2025,859767.59,0,188561.15,561721.19,310,9,9,1,Normal,7/9/2025,0,0,94.4,NO,8
ATM1041,7/4/2025,949888.46,0,780231.07,545062.87,406,11,13,2,Normal,10/23/2025,0,2500,90.8,NO,12
ATM1001,7/26/2025,288569.12,0,523540.03,673177.71,158,9,17,1,Normal,10/24/2025,0,0,81.6,NO,9
ATM1016,1/15/2025,407563.1,0,655216.69,114383.58,312,10,12,0,Normal,7/6/2025,0,0,81.1,NO,14
ATM1004,11/26/2025,546444.44,300000,128516.34,459245.14,582,3,6,1,Normal,12/31/2025,0,3500,91.3,NO,3
ATM1037,6/3/2025,1122145.35,500000,573071.85,425683.18,453,10,9,2,Normal,7/23/2025,700000,3500,61.4,NO,3
ATM1034,2/24/2025,534869.17,300000,650658.22,287246.71,426,8,16,2,Normal,6/2/2025,0,3500,86.1,NO,1
ATM1038,7/22/2025,517468.04,0,834684.75,342101.93,370,10,7,2,Normal,12/24/2025,0,2500,87,NO,0
ATM1010,1/8/2025,1045264.39,700000,791009.71,807576.45,322,8,13,1,Normal,7/8/2025,0,0,77.4,YES,7
ATM1025,6/10/2025,679948.18,0,153173.9,999301.68,189,4,11,4,Normal,4/8/2025,0,0,84,NO,12
ATM1050,4/25/2025,344132.96,700000,106317.04,328934.83,205,5,12,0,Normal,5/23/2025,0,3500,100,NO,10
ATM1020,4/21/2025,1125461.54,0,263291.62,925087.58,208,6,12,1,Normal,10/20/2025,0,2500,78.3,NO,1
ATM1035,12/5/2025,339574.8,700000,494379.43,721629.56,143,5,7,1,Normal,6/24/2025,500000,3500,73.9,YES,14
ATM1036,7/28/2025,867970.88,500000,628392.28,372336.53,232,8,11,2,Normal,11/13/2025,500000,0,86.4,NO,2
ATM1025,1/10/2025,1025342.25,0,497934.17,130373.47,378,8,14,1,Normal,7/13/2025,0,0,100,NO,8
ATM1032,12/8/2025,525825.11,0,640048.91,777860.32,286,5,11,0,Normal,9/13/2025,500000,3500,81.9,NO,14
ATM1004,5/1/2025,746293.91,700000,138350.21,105296.34,517,4,13,1,Normal,3/4/2025,0,2500,90.6,NO,0
ATM1010,1/11/2025,894092.65,0,609698.75,804925.95,458,8,10,2,Normal,1/18/2025,500000,2500,82.1,YES,11
ATM1039,8/26/2025,1025555.65,0,162720.81,346450.04,596,5,16,3,Normal,8/29/2025,0,0,75.2,NO,11
ATM1033,12/23/2025,575041.55,0,229005.72,86131.66,69,6,6,1,Normal,8/27/2025,300000,0,85,NO,5
ATM1046,4/7/2025,887195.47,300000,662592.03,555351.99,421,6,9,4,Normal,7/12/2025,0,0,86.4,NO,13
ATM1038,10/27/2025,541600.82,700000,130195.82,562151.6,490,3,15,1,Normal,5/9/2025,0,0,55.4,NO,14
ATM1023,8/4/2025,814524.04,300000,414125.83,628841.12,30,3,12,1,Normal,8/30/2025,0,0,74.7,NO,5
ATM1025,7/1/2025,336398.35,500000,502431.15,671088.54,244,7,14,1,Normal,2/2/2025,0,0,75.6,NO,10
ATM1016,5/18/2025,1069381.08,500000,342457.56,986360.45,50,7,12,2,Normal,3/23/2025,0,0,66.8,YES,2
ATM1012,7/3/2025,706767.81,500000,113132.85,286173.21,65,5,22,1,Required,1/16/2025,500000,0,87.5,NO,6
ATM1012,4/21/2025,501971.69,300000,550262.99,854071,597,7,18,5,Normal,8/30/2025,0,3500,59.5,YES,1
ATM1030,12/14/2025,701986.81,0,237567.3,887559.05,581,5,19,1,Required,10/21/2025,0,3500,87.6,NO,8
ATM1013,8/9/2025,377463.14,0,322842.51,81693.02,335,4,11,3,Normal,10/21/2025,0,3500,90.9,YES,6
ATM1015,9/27/2025,353435.98,0,476763.43,820683.62,305,4,8,1,Normal,6/10/2025,0,0,88.5,YES,10
ATM1008,2/3/2025,326314.7,0,851840.61,527482.61,338,1,18,3,Normal,9/22/2025,300000,2500,100,NO,2
ATM1033,5/28/2025,729600.43,300000,880951.52,876104.43,149,9,6,1,Normal,8/7/2025,500000,0,100,YES,13
ATM1008,10/18/2025,786009.01,500000,183903.26,399624.73,513,6,4,2,Required,11/20/2025,0,0,83.4,NO,5
ATM1003,10/23/2025,498461.14,700000,485794.55,872988.97,254,7,11,1,Normal,8/26/2025,700000,0,69.5,NO,9
ATM1021,10/28/2025,724425.68,0,475089.22,319924.84,83,7,12,3,Normal,2/17/2025,0,3500,78.3,NO,9
ATM1037,4/8/2025,434353.45,300000,349596.12,106337.78,205,5,12,2,Normal,4/9/2025,500000,2500,100,NO,3
ATM1033,7/10/2025,1106554.52,0,398444.61,675981.48,336,3,14,1,Normal,11/14/2025,0,0,80.1,NO,1
ATM1021,8/24/2025,699716.04,300000,687630.69,140330.95,543,8,11,2,Required,10/20/2025,500000,3500,86.8,NO,2
ATM1034,11/13/2025,579545.98,300000,487530.84,556994.21,388,1,12,3,Normal,2/10/2025,0,0,92.9,NO,13
ATM1003,1/19/2025,541549.2,700000,511548.65,986802.71,121,9,8,4,Normal,1/28/2025,0,0,91.9,NO,14
ATM1016,4/7/2025,439359.71,0,768551.75,996368.57,369,6,11,1,Normal,9/29/2025,500000,3500,69.2,YES,10
ATM1001,1/21/2025,702952.47,700000,684394.56,115525.94,137,4,15,4,Normal,4/27/2025,0,0,76.3,NO,4
ATM1015,2/16/2025,487742.17,0,872992.1,550972.17,442,7,3,1,Normal,8/6/2025,500000,3500,85,NO,5
ATM1044,7/22/2025,455112.2,0,688660.8,967308.07,437,10,14,0,Required,11/9/2025,300000,0,100,NO,12
ATM1034,12/27/2025,720898.03,300000,66172.83,963148.54,507,3,14,3,Normal,2/14/2025,0,0,78.4,YES,12
ATM1015,6/10/2025,1193976.6,0,868051.91,740634.02,210,7,18,2,Normal,2/16/2025,0,0,90.8,NO,4
ATM1031,4/9/2025,1151461.03,0,505177.17,691431.43,163,2,18,2,Normal,11/17/2025,500000,0,80.4,YES,2
ATM1033,3/21/2025,314254.48,0,835940.71,318827.12,361,10,11,1,Normal,7/19/2025,0,2500,87.6,YES,13
ATM1049,3/5/2025,585628.51,700000,279934.46,92943.74,454,10,9,1,Normal,11/24/2025,0,0,88.3,YES,14
ATM1004,2/3/2025,1195880.49,500000,859658.84,269008.27,114,5,12,2,Normal,1/24/2025,300000,0,72.5,NO,13
ATM1020,9/17/2025,1128892.51,0,211076.89,701612.98,254,7,9,2,Required,10/31/2025,700000,0,92.6,NO,6
ATM1003,3/15/2025,1161340.88,0,532379.81,325496.29,343,3,12,3,Normal,9/19/2025,0,0,80.3,NO,11
ATM1026,11/14/2025,372474.81,500000,72710.91,592721.76,275,6,8,4,Normal,2/15/2025,300000,0,82.4,YES,1
ATM1006,8/4/2025,449961.14,0,777918.75,361684.55,37,1,17,2,Required,9/19/2025,0,2500,77,NO,14
ATM1038,2/20/2025,1020516.81,0,98392.77,192005.69,361,7,13,0,Normal,8/23/2025,0,3500,75.7,YES,6
ATM1015,12/12/2025,593902.02,300000,278675.58,604202.45,102,6,11,1,Normal,2/15/2025,0,3500,83.6,NO,14
ATM1040,7/2/2025,1045611.15,500000,803435.83,757114.27,583,4,14,2,Normal,10/21/2025,500000,0,81.5,YES,14
ATM1045,3/30/2025,569389.2,0,747210.05,865303.53,322,6,11,2,Normal,6/30/2025,0,0,99.9,NO,4
ATM1024,2/28/2025,828069.57,0,263079.15,303332.98,463,9,17,5,Normal,3/12/2025,0,0,87.7,NO,2
ATM1049,8/5/2025,1109750.41,0,717156.19,740024.68,156,4,11,4,Normal,1/29/2025,0,3500,73.2,NO,7
ATM1004,9/23/2025,856870.92,0,494330.59,616443.59,328,3,4,1,Normal,2/3/2025,0,0,81.9,YES,3
ATM1022,8/20/2025,953821.1,0,225053.36,203360.09,253,7,10,6,Normal,1/18/2025,0,0,76.3,NO,10
ATM1034,3/3/2025,1125360.56,0,749909.69,81867.29,449,6,15,1,Normal,9/24/2025,0,0,78.9,NO,6
ATM1038,2/3/2025,606468.14,700000,662193.78,211007.04,547,5,16,1,Normal,3/8/2025,0,0,92.5,NO,2
ATM1030,3/21/2025,554758.65,0,297916.35,520929.58,77,5,13,1,Normal,3/26/2025,700000,0,92.2,NO,14
ATM1018,2/11/2025,704254.78,0,898284.52,891345.32,40,9,17,0,Required,2/18/2025,700000,3500,91.1,NO,6
ATM1035,8/4/2025,472396.74,300000,502496.9,182374.2,259,7,15,2,Normal,8/21/2025,0,3500,93,NO,6
ATM1014,1/21/2025,277647.4,500000,743530.43,201172.44,479,5,11,5,Normal,6/28/2025,700000,0,77.2,NO,10
ATM1023,3/15/2025,1096139.86,0,393351.67,183938.79,364,2,14,4,Normal,11/28/2025,0,2500,77.2,NO,1
ATM1050,2/16/2025,546637.6,0,78593.78,139501.51,475,4,9,1,Normal,12/15/2025,0,0,99.3,NO,7
ATM1022,3/3/2025,676089.08,300000,480007.01,222461.09,357,13,17,1,Normal,10/20/2025,0,2500,89.9,NO,5
ATM1036,3/10/2025,1145052.41,0,579407.91,757119.47,468,10,11,6,Normal,6/3/2025,500000,3500,62.4,NO,10
ATM1020,10/19/2025,952168.61,300000,523018.2,88181.42,477,3,11,2,Normal,1/19/2025,300000,0,99.9,NO,4
ATM1009,9/4/2025,714883.33,0,129905.24,564659.2,328,5,15,1,Normal,3/9/2025,300000,3500,87.6,YES,13
ATM1036,1/4/2025,275517.73,0,322595.38,110160.48,561,5,16,6,Normal,8/19/2025,0,3500,76.3,NO,14
ATM1034,3/3/2025,307579.86,300000,397022.24,519305.72,205,3,13,3,Normal,7/1/2025,700000,3500,73,NO,2
ATM1015,3/6/2025,648377.08,0,474151.6,589090.87,56,5,11,0,Normal,1/5/2025,0,0,55.2,NO,13
ATM1032,6/9/2025,916268.86,500000,142335.88,557680.02,390,7,19,4,Normal,1/4/2025,500000,0,80.6,NO,13
ATM1005,8/10/2025,998190.69,500000,376024.18,987881.18,282,7,13,2,Required,8/21/2025,500000,3500,100,YES,9
ATM1039,11/23/2025,667042.57,0,776400.09,462242.21,468,9,7,4,Normal,6/15/2025,0,3500,69.6,NO,9
ATM1029,3/21/2025,347485.37,500000,160349.95,777647.85,201,5,10,4,Normal,4/13/2025,0,0,73.4,NO,1
ATM1023,11/4/2025,1186243.98,700000,330273.87,962666.18,213,6,9,2,Normal,4/20/2025,500000,0,61.1,YES,8
ATM1035,6/6/2025,757252.23,500000,769661.24,376508.4,272,3,10,0,Normal,1/20/2025,0,3500,71.2,NO,12
ATM1001,11/6/2025,1138363.91,500000,301252.44,959441.73,434,4,9,2,Normal,11/20/2025,700000,3500,87.8,NO,3
ATM1033,12/9/2025,549324.57,0,818737.47,665079.34,111,11,20,3,Normal,7/1/2025,0,0,88.3,NO,7
ATM1045,1/31/2025,383409.92,0,791289.97,661279.03,189,3,11,2,Normal,6/25/2025,500000,0,92.4,YES,4
ATM1009,6/2/2025,1183506.15,0,567060.42,77472.1,340,4,20,1,Normal,11/3/2025,300000,0,74.1,NO,3
ATM1017,12/9/2025,752163.89,0,435428.5,822686.04,556,6,15,6,Normal,12/4/2025,500000,3500,92.6,YES,13
ATM1026,4/23/2025,264628.95,0,558230.32,503173.96,267,11,7,3,Normal,10/28/2025,0,0,84.2,NO,10
ATM1023,11/8/2025,656548.4,700000,194811.38,596925.81,167,6,6,1,Normal,2/22/2025,500000,3500,82.3,YES,5
ATM1044,2/2/2025,1004140.04,0,170801.37,136860.96,365,5,10,1,Normal,9/21/2025,500000,0,68.9,NO,2
ATM1026,7/22/2025,1132153.75,0,863690.6,649345.59,363,5,13,0,Normal,1/1/2025,0,3500,83.6,NO,14
ATM1034,2/26/2025,1099294.11,500000,826794.58,614994.75,532,2,18,1,Normal,2/22/2025,0,0,94.6,NO,8
ATM1005,3/27/2025,911894.93,500000,578793.12,527827.09,471,6,13,2,Normal,10/2/2025,300000,0,95.8,NO,11
ATM1011,1/23/2025,301483.18,0,617506.36,856957.8,357,6,10,3,Normal,7/10/2025,0,3500,100,YES,5
ATM1018,9/17/2025,985022.49,0,302118.22,267058.81,557,6,10,0,Normal,12/6/2025,700000,0,76.8,NO,5
ATM1022,7/9/2025,683305.21,0,685317.65,772634.23,167,9,18,3,Normal,2/4/2025,0,3500,72.1,YES,0
ATM1021,8/21/2025,566029.57,300000,84401.32,937378.4,178,5,15,2,Normal,5/7/2025,700000,0,79.5,NO,4
ATM1007,11/7/2025,407993.4,0,616903.83,867455,354,9,7,0,Normal,2/2/2025,0,2500,77.4,NO,8
ATM1028,6/13/2025,555351.04,0,175894.82,490871.53,388,7,12,2,Normal,4/10/2025,0,3500,86.7,NO,14
ATM1011,12/15/2025,683014.5,0,734002.8,525525.09,524,3,14,4,Normal,6/11/2025,500000,0,87.7,NO,13
ATM1010,8/12/2025,832467.91,500000,595314.25,89949.05,482,11,6,1,Normal,11/3/2025,300000,3500,67.2,NO,5
ATM1024,5/16/2025,463897.78,0,422448.49,608129.93,231,8,14,1,Normal,2/9/2025,0,0,62.9,NO,10
ATM1033,11/8/2025,874958.12,0,208502.64,718779.06,524,3,11,1,Required,7/23/2025,300000,3500,71.3,NO,7
ATM1040,4/20/2025,809832.75,0,362181.7,372882.04,435,10,10,3,Normal,3/27/2025,0,0,77.6,NO,14
ATM1001,1/16/2025,967812.58,0,862731.6,280936.46,421,5,19,1,Normal,1/14/2025,500000,0,80.3,NO,5
ATM1009,4/6/2025,539073.63,0,127775.18,280150.42,576,11,14,2,Normal,4/3/2025,0,0,76.8,YES,1
ATM1049,7/14/2025,840597.76,0,705820.94,664855.95,178,7,20,3,Required,11/14/2025,0,0,90.1,NO,14
ATM1027,1/21/2025,481903.99,0,509712.32,379260.49,582,12,20,2,Normal,6/9/2025,300000,0,84.5,YES,3
ATM1040,1/31/2025,676786.39,700000,800933.67,445821.25,592,4,8,7,Required,10/27/2025,700000,3500,71.1,NO,11
ATM1006,7/9/2025,1044345.97,300000,213250.44,291059.68,477,9,14,0,Normal,11/20/2025,0,0,57.5,NO,5
ATM1049,6/3/2025,526202.29,500000,840947.58,863557.51,64,7,12,1,Normal,3/7/2025,0,3500,65.7,NO,8
ATM1030,1/6/2025,269493.24,300000,768871.55,742377.81,67,5,16,2,Normal,4/13/2025,300000,3500,100,NO,11
ATM1007,8/18/2025,865825.45,0,607815.91,807398.74,106,5,14,1,Normal,3/27/2025,500000,3500,91.4,NO,3
ATM1043,4/15/2025,465725.86,0,605453.34,488109.92,34,5,7,1,Normal,5/27/2025,500000,2500,74.1,NO,6
ATM1009,9/15/2025,1014953.77,700000,50298.29,947316.13,304,7,13,3,Normal,9/5/2025,300000,2500,100,NO,2
ATM1026,6/24/2025,650107.9,500000,458629.03,770232.51,489,4,13,3,Normal,8/3/2025,0,2500,85.4,NO,5
ATM1029,12/4/2025,719612.11,0,579742.56,164540.72,585,9,13,2,Normal,4/15/2025,700000,3500,61.2,YES,4
ATM1033,5/3/2025,532039.45,0,126085.67,708784.65,321,4,11,2,Normal,4/12/2025,0,0,100,NO,5
ATM1001,9/25/2025,522133.01,500000,658197.62,180806.64,102,7,15,1,Normal,8/4/2025,500000,0,83.4,NO,13
ATM1039,9/25/2025,1040661.16,0,486479.29,303864.81,510,8,11,4,Normal,10/27/2025,500000,0,76.6,NO,10
ATM1048,3/28/2025,1081553.63,700000,868614.02,807073.64,108,9,8,4,Required,8/14/2025,0,3500,69.1,NO,12
ATM1050,12/8/2025,702786.26,300000,539906.26,628137.43,418,8,12,0,Normal,6/12/2025,0,0,99.8,NO,11
ATM1024,9/6/2025,1167255.58,700000,535209.43,939943.98,30,15,8,1,Normal,10/22/2025,0,0,74.4,YES,10
ATM1042,11/25/2025,551040.62,300000,121005.87,236689.96,203,5,15,2,Normal,5/3/2025,300000,3500,79.6,NO,1
ATM1018,7/7/2025,510815.85,500000,722290.05,838420.14,410,3,10,1,Normal,11/14/2025,700000,0,80.2,NO,0
ATM1046,1/4/2025,575136.89,500000,449306.64,284088.12,363,5,15,3,Normal,9/17/2025,700000,3500,72.8,NO,3
ATM1015,7/7/2025,341259.06,0,484951.06,561219.34,202,9,12,1,Normal,5/12/2025,0,0,87.1,NO,6
ATM1029,8/24/2025,706860.4,0,700533.35,614020.03,421,9,9,1,Normal,5/2/2025,0,0,72.9,YES,0
ATM1004,11/3/2025,1190278.19,0,487986.27,625079.69,322,7,10,1,Normal,8/19/2025,0,2500,72,NO,6
ATM1014,5/18/2025,719059.64,500000,864289.65,391703.8,463,5,8,2,Normal,7/3/2025,500000,0,100,YES,13
ATM1021,6/19/2025,1096908.26,0,247962.46,543105.02,358,7,8,3,Normal,7/30/2025,0,0,93.9,NO,12
ATM1037,6/21/2025,770818.53,0,213852.34,259025.83,303,4,11,4,Normal,7/24/2025,700000,3500,79.7,YES,3
ATM1019,12/3/2025,817938.26,0,148588.97,566156.05,310,10,14,1,Normal,7/4/2025,700000,3500,71.3,NO,9
ATM1002,12/6/2025,996989.29,500000,577885.98,132817.07,423,6,9,4,Normal,5/2/2025,500000,0,100,NO,11
ATM1026,9/23/2025,339128.58,0,343131.62,420767.26,485,6,13,1,Normal,2/6/2025,0,0,78.5,NO,2
ATM1014,2/14/2025,840269.24,500000,500737.65,351397.81,392,3,8,5,Normal,11/25/2025,500000,0,67,NO,4
ATM1033,10/17/2025,812445.13,0,192002.56,779080.36,467,7,10,0,Normal,4/28/2025,700000,3500,79.3,NO,11
ATM1012,10/11/2025,518441.94,700000,231362.82,99554.08,454,7,11,3,Normal,9/22/2025,0,2500,69.5,NO,14
ATM1041,10/2/2025,372873.87,500000,251369.9,989092.27,426,10,16,0,Normal,1/11/2025,0,0,91.8,NO,11
ATM1005,9/7/2025,1106702.7,700000,895008.32,527057.73,563,8,10,5,Required,4/13/2025,0,0,76.7,NO,7
ATM1037,12/30/2025,436113.08,500000,165983.01,337422.26,234,7,10,3,Normal,12/2/2025,700000,0,83.3,NO,11
ATM1037,2/9/2025,433824.2,0,796238.98,546765.27,28,8,13,3,Normal,12/31/2025,0,0,64.5,NO,7
ATM1047,10/29/2025,862341.76,0,131983.72,846613.43,243,4,18,1,Normal,3/15/2025,500000,3500,70.9,NO,3
ATM1031,6/7/2025,837797.65,300000,327727.27,183169.7,206,2,18,1,Normal,4/3/2025,0,3500,77.2,NO,4
ATM1034,5/31/2025,977962.09,500000,65486.92,328309.24,250,12,12,2,Normal,4/29/2025,300000,0,96,NO,13
ATM1032,8/14/2025,1045167.94,0,362281.04,70941.08,459,3,10,0,Normal,4/1/2025,0,3500,93.8,NO,6
ATM1050,4/24/2025,722322.78,500000,429908.27,578681.31,461,4,17,2,Normal,9/24/2025,0,0,71,YES,14
ATM1032,7/16/2025,723443.26,0,845333.12,776793.47,278,5,9,2,Normal,3/20/2025,0,0,83.8,NO,2
ATM1028,8/21/2025,618399.51,300000,555837.05,142486.27,323,7,17,1,Normal,2/25/2025,300000,3500,86.2,NO,2
ATM1014,7/20/2025,793604.14,700000,494865.97,919010.39,476,10,13,0,Normal,2/26/2025,300000,3500,92.2,NO,5
ATM1007,2/16/2025,663323.45,700000,220301.94,781903.74,584,1,15,2,Normal,4/6/2025,500000,3500,77.8,NO,10
ATM1020,10/17/2025,358408.89,500000,465427.68,295950.01,94,2,11,2,Normal,5/16/2025,700000,0,86,YES,4
ATM1031,10/22/2025,409301.8,300000,492146.64,629869.31,341,6,11,2,Normal,2/5/2025,0,2500,77,NO,2
ATM1039,4/19/2025,813126.82,0,433611.79,558985.45,114,6,9,2,Normal,12/6/2025,300000,0,84.2,NO,0
ATM1045,5/2/2025,935425.78,0,448290.11,571974.76,599,5,17,2,Normal,9/21/2025,300000,0,70.1,NO,8
ATM1010,7/4/2025,659668.7,300000,815584.03,314495.32,596,11,10,4,Normal,4/23/2025,0,2500,95.6,NO,10
ATM1027,1/26/2025,1039716.78,500000,755470.26,787507.14,52,8,13,4,Normal,1/13/2025,300000,0,91.6,NO,2
ATM1041,3/15/2025,1115188.41,0,61246.3,512621.43,362,6,11,2,Normal,8/16/2025,300000,0,73.9,NO,2
ATM1014,1/8/2025,374516.22,0,182307.82,208882.56,48,4,11,4,Normal,3/12/2025,500000,0,100,NO,6
ATM1023,1/7/2025,1146146.07,0,518947.43,373617.64,236,3,11,1,Normal,2/19/2025,0,0,100,NO,3
ATM1005,10/26/2025,599726.39,500000,307154.4,286863.07,271,5,11,4,Required,9/2/2025,500000,2500,98.8,NO,3
ATM1021,11/29/2025,657357.02,0,860690.95,914464.43,302,0,11,1,Normal,9/15/2025,0,3500,100,NO,2
ATM1014,10/25/2025,844111.57,700000,322396.31,419370.11,252,12,14,3,Normal,7/4/2025,0,3500,90.4,NO,12
ATM1024,4/3/2025,664887.92,0,703585.91,504752.76,385,8,12,0,Required,9/16/2025,0,0,85.5,NO,1
ATM1020,10/22/2025,952037.93,0,428733.24,819873.81,334,5,9,1,Required,3/14/2025,500000,0,91.5,NO,8
ATM1012,9/25/2025,738035.56,0,474443.27,333831.95,479,9,16,2,Normal,11/6/2025,0,0,79.3,YES,10
ATM1019,4/27/2025,347011.88,500000,492819.12,987358.77,587,3,10,1,Normal,10/5/2025,500000,2500,72.2,NO,12
ATM1046,11/28/2025,302954.87,0,197042.56,383430.61,67,9,11,4,Normal,11/20/2025,0,0,77.6,YES,4
ATM1026,3/31/2025,612807.62,0,431383.89,605363.06,153,5,15,0,Normal,2/14/2025,300000,0,94.1,NO,12
ATM1032,8/9/2025,726716.65,0,735011.7,708058.02,111,5,12,2,Normal,11/14/2025,0,3500,86.1,YES,14
ATM1003,2/3/2025,1071706.71,500000,168539.38,459194.81,285,6,7,2,Normal,12/18/2025,0,0,73.4,NO,3
ATM1021,11/17/2025,1121262.86,0,828854.11,143718.97,184,6,15,0,Normal,2/10/2025,500000,0,74.7,NO,1
ATM1026,5/12/2025,726265.82,700000,345460.18,453056.11,49,5,18,0,Required,2/24/2025,0,3500,70.3,NO,5
ATM1028,3/9/2025,256991.36,0,272306.52,788420.18,299,8,9,5,Normal,2/10/2025,0,0,74.5,YES,4
ATM1049,9/7/2025,539303.52,0,730656.36,290432.92,596,2,10,2,Normal,6/10/2025,700000,0,73.2,YES,2
ATM1031,1/30/2025,635286.71,700000,187332.26,529939.12,381,4,16,1,Normal,8/26/2025,0,0,96.5,YES,12
ATM1014,3/8/2025,319429.79,500000,443520.18,731932.12,549,2,19,2,Required,3/15/2025,500000,0,84.1,NO,13
ATM1046,10/16/2025,687665.42,0,91043.56,687030.51,355,11,12,1,Normal,11/9/2025,0,3500,79.3,NO,2
ATM1018,11/6/2025,310939.53,0,355788.31,355393.87,494,2,9,1,Normal,4/24/2025,0,0,89.3,NO,4
ATM1040,12/26/2025,483937.7,0,804388.46,707096.27,326,6,9,5,Required,5/28/2025,0,0,96.8,NO,8
ATM1049,5/22/2025,566772.09,0,676901.5,753744.47,66,8,11,1,Normal,1/25/2025,0,3500,72.6,NO,1
ATM1047,8/22/2025,395223.5,300000,377523.94,289213.1,588,4,13,1,Normal,10/20/2025,0,0,99.3,NO,2
