Date,Day_Name,Weekend,Salary_Day,Festival,Holiday,Nearby_Event,Rainfall_mm
2025-03-02 00:00:00,Sunday,Yes,Yes,None,No,None,2.1
2025-03-03 00:00:00,Monday,No,No,None,No,Major Event,1.7
2025-03-04 00:00:00,Tuesday,No,No,None,No,None,2.3
2025-03-05 00:00:00,Wednesday,No,Yes,None,No,None,6.1
2025-03-06 00:00:00,Thursday,No,No,None,No,Major Event,3.2
2025-03-07 00:00:00,Friday,No,Yes,None,No,None,2.6
2025-03-08 00:00:00,Saturday,Yes,No,None,No,Major Event,4
2025-03-09 00:00:00,Sunday,Yes,No,None,No,None,0.2
2025-03-10 00:00:00,Monday,No,Yes,None,No,None,5.3
2025-03-11 00:00:00,Tuesday,No,No,None,No,None,15.5
2025-03-12 00:00:00,Wednesday,No,No,None,No,Major Event,8.9
2025-03-13 00:00:00,Thursday,No,No,None,No,None,1.4
2025-03-14 00:00:00,Friday,No,No,None,No,None,4.2
2025-03-15 00:00:00,Saturday,Yes,No,None,No,None,1.9
2025-03-16 00:00:00,Sunday,Yes,No,None,No,None,17.6
2025-03-17 00:00:00,Monday,No,No,None,No,Major Event,3.1
2025-03-18 00:00:00,Tuesday,No,No,None,No,Major Event,3
2025-03-19 00:00:00,Wednesday,No,No,None,No,None,20.8
2025-03-20 00:00:00,Thursday,No,No,None,No,None,5.7
2025-03-21 00:00:00,Friday,No,No,None,No,None,9.6
2025-03-22 00:00:00,Saturday,Yes,No,None,No,None,1.2
2025-03-23 00:00:00,Sunday,Yes,No,None,No,None,1.8
2025-03-24 00:00:00,Monday,No,No,None,No,None,8
2025-03-25 00:00:00,Tuesday,No,Yes,None,No,None,8.2
2025-03-26 00:00:00,Wednesday,No,Yes,None,No,None,6.8
2025-03-27 00:00:00,Thursday,No,Yes,None,No,None,6.6
2025-03-28 00:00:00,Friday,No,Yes,None,No,None,1.2
2025-03-29 00:00:00,Saturday,Yes,No,None,No,None,1
2025-03-30 00:00:00,Sunday,Yes,Yes,None,No,None,1.7
2025-03-31 00:00:00,Monday,No,No,None,No,None,5
2025-04-01 00:00:00,Tuesday,No,Yes,None,No,None,6.4
2025-04-02 00:00:00,Wednesday,No,Yes,None,No,None,22.1
2025-04-03 00:00:00,Thursday,No,No,None,No,None,14.9
2025-04-04 00:00:00,Friday,No,No,None,No,None,4
2025-04-05 00:00:00,Saturday,Yes,Yes,None,No,None,7.1
2025-04-06 00:00:00,Sunday,Yes,No,None,No,None,6.7
2025-04-07 00:00:00,Monday,No,Yes,None,No,Major Event,3.2
2025-04-08 00:00:00,Tuesday,No,No,None,No,None,4.7
2025-04-09 00:00:00,Wednesday,No,No,None,No,None,5.4
2025-04-10 00:00:00,Thursday,No,Yes,None,No,Major Event,7.7
2025-04-11 00:00:00,Friday,No,No,None,No,None,6.6
2025-04-12 00:00:00,Saturday,Yes,No,None,No,None,3.5
2025-04-13 00:00:00,Sunday,Yes,No,None,No,None,0.4
2025-04-14 00:00:00,Monday,No,No,None,No,None,4.2
2025-04-15 00:00:00,Tuesday,No,No,None,No,None,1.3
2025-04-16 00:00:00,Wednesday,No,No,None,No,None,7.8
2025-04-17 00:00:00,Thursday,No,No,None,No,None,5.8
2025-04-18 00:00:00,Friday,No,No,None,No,Major Event,15.1
2025-04-19 00:00:00,Saturday,Yes,No,None,No,None,8.9
2025-04-20 00:00:00,Sunday,Yes,No,None,No,None,2
2025-04-21 00:00:00,Monday,No,No,None,No,None,4.3
2025-04-22 00:00:00,Tuesday,No,No,None,No,None,3
2025-04-23 00:00:00,Wednesday,No,No,None,No,None,3.7
2025-04-24 00:00:00,Thursday,No,No,None,No,Major Event,7.7
2025-04-25 00:00:00,Friday,No,Yes,None,No,None,11.9
2025-04-26 00:00:00,Saturday,Yes,Yes,None,No,None,3.4
2025-04-27 00:00:00,Sunday,Yes,Yes,None,No,None,10.2
2025-04-28 00:00:00,Monday,No,Yes,None,No,None,9.8
2025-04-29 00:00:00,Tuesday,No,No,None,No,None,4.4
2025-04-30 00:00:00,Wednesday,No,Yes,None,No,None,7.3
2025-05-01 00:00:00,Thursday,No,Yes,None,No,None,6
2025-05-02 00:00:00,Friday,No,Yes,None,No,None,4.9
2025-05-03 00:00:00,Saturday,Yes,No,None,No,None,2.8
2025-05-04 00:00:00,Sunday,Yes,No,None,No,None,2.2
2025-05-05 00:00:00,Monday,No,Yes,None,No,None,17.3
2025-05-06 00:00:00,Tuesday,No,No,None,No,None,2.8
2025-05-07 00:00:00,Wednesday,No,Yes,None,No,None,0.8
2025-05-08 00:00:00,Thursday,No,No,None,No,None,1.5
2025-05-09 00:00:00,Friday,No,No,None,No,Major Event,13.5
2025-05-10 00:00:00,Saturday,Yes,Yes,None,No,None,4.1
2025-05-11 00:00:00,Sunday,Yes,No,None,No,None,18.7
2025-05-12 00:00:00,Monday,No,No,None,No,Major Event,4.2
2025-05-13 00:00:00,Tuesday,No,No,None,No,None,0.8
2025-05-14 00:00:00,Wednesday,No,No,None,No,Major Event,4.1
2025-05-15 00:00:00,Thursday,No,No,None,No,None,5.5
2025-05-16 00:00:00,Friday,No,No,None,No,None,9.1
2025-05-17 00:00:00,Saturday,Yes,No,None,No,None,7.7
2025-05-18 00:00:00,Sunday,Yes,No,None,No,None,6
2025-05-19 00:00:00,Monday,No,No,None,No,None,22.6
2025-05-20 00:00:00,Tuesday,No,No,None,No,Major Event,10.7
2025-05-21 00:00:00,Wednesday,No,No,None,No,None,5.7
2025-05-22 00:00:00,Thursday,No,No,None,No,None,5.5
2025-05-23 00:00:00,Friday,No,No,None,No,None,9
2025-05-24 00:00:00,Saturday,Yes,No,None,No,None,1.5
2025-05-25 00:00:00,Sunday,Yes,Yes,None,No,None,8.9
2025-05-26 00:00:00,Monday,No,Yes,None,No,None,6.3
2025-05-27 00:00:00,Tuesday,No,Yes,None,No,None,4.7
2025-05-28 00:00:00,Wednesday,No,Yes,None,No,Major Event,4.2
2025-05-29 00:00:00,Thursday,No,No,None,No,None,2.6
2025-05-30 00:00:00,Friday,No,Yes,None,No,None,1
2025-05-31 00:00:00,Saturday,Yes,No,None,No,None,0.3
2025-06-01 00:00:00,Sunday,Yes,Yes,None,No,None,3.7
2025-06-02 00:00:00,Monday,No,Yes,None,No,None,4.3
2025-06-03 00:00:00,Tuesday,No,No,None,No,None,3.7
2025-06-04 00:00:00,Wednesday,No,No,None,No,None,4.3
2025-06-05 00:00:00,Thursday,No,Yes,None,No,None,2.3
2025-06-06 00:00:00,Friday,No,No,None,No,None,7.1
2025-06-07 00:00:00,Saturday,Yes,Yes,None,No,None,1.8
2025-06-08 00:00:00,Sunday,Yes,No,None,No,None,24.4
2025-06-09 00:00:00,Monday,No,No,None,No,None,12.4
2025-06-10 00:00:00,Tuesday,No,Yes,None,No,None,2.9
2025-06-11 00:00:00,Wednesday,No,No,None,No,None,0.5
2025-06-12 00:00:00,Thursday,No,No,None,No,None,3.4
2025-06-13 00:00:00,Friday,No,No,None,No,None,4.3
2025-06-14 00:00:00,Saturday,Yes,No,None,No,None,1.9
2025-06-15 00:00:00,Sunday,Yes,No,None,No,None,17.1
2025-06-16 00:00:00,Monday,No,No,None,No,None,4
2025-06-17 00:00:00,Tuesday,No,No,None,No,Major Event,6.5
2025-06-18 00:00:00,Wednesday,No,No,None,No,None,8.9
2025-06-19 00:00:00,Thursday,No,No,None,No,None,6.9
2025-06-20 00:00:00,Friday,No,No,None,No,None,14.5
2025-06-21 00:00:00,Saturday,Yes,No,None,No,None,5
2025-06-22 00:00:00,Sunday,Yes,No,None,No,None,0.5
2025-06-23 00:00:00,Monday,No,No,None,No,None,2.4
2025-06-24 00:00:00,Tuesday,No,No,None,No,None,0.3
2025-06-25 00:00:00,Wednesday,No,Yes,None,No,None,0.9
2025-06-26 00:00:00,Thursday,No,Yes,None,No,None,5.4
2025-06-27 00:00:00,Friday,No,Yes,None,No,Major Event,4.2
2025-06-28 00:00:00,Saturday,Yes,Yes,None,No,None,7.4
2025-06-29 00:00:00,Sunday,Yes,No,None,No,None,3.8
2025-06-30 00:00:00,Monday,No,Yes,None,No,None,0.5
2025-07-01 00:00:00,Tuesday,No,Yes,None,No,None,4.3
2025-07-02 00:00:00,Wednesday,No,Yes,None,No,None,16.2
2025-07-03 00:00:00,Thursday,No,No,None,No,None,2.3
2025-07-04 00:00:00,Friday,No,No,None,No,None,0.7
2025-07-05 00:00:00,Saturday,Yes,Yes,None,No,None,2.9
2025-07-06 00:00:00,Sunday,Yes,No,None,No,None,3.5
2025-07-07 00:00:00,Monday,No,Yes,None,No,Major Event,5.1
2025-07-08 00:00:00,Tuesday,No,No,None,No,None,4.3
2025-07-09 00:00:00,Wednesday,No,No,None,No,None,12.4
2025-07-10 00:00:00,Thursday,No,Yes,None,No,None,2
2025-07-11 00:00:00,Friday,No,No,None,No,None,0.8
2025-07-12 00:00:00,Saturday,Yes,No,None,No,Major Event,10.9
2025-07-13 00:00:00,Sunday,Yes,No,None,No,None,2.8
2025-07-14 00:00:00,Monday,No,No,None,No,None,4.8
2025-07-15 00:00:00,Tuesday,No,No,None,No,None,3.1
2025-07-16 00:00:00,Wednesday,No,No,None,No,None,2.4
2025-07-17 00:00:00,Thursday,No,No,None,No,None,4.7
2025-07-18 00:00:00,Friday,No,No,None,No,None,11.4
2025-07-19 00:00:00,Saturday,Yes,No,None,No,None,4.7
2025-07-20 00:00:00,Sunday,Yes,No,None,No,None,5.3
2025-07-21 00:00:00,Monday,No,No,None,No,Major Event,7.5
2025-07-22 00:00:00,Tuesday,No,No,None,No,None,5.2
2025-07-23 00:00:00,Wednesday,No,No,None,No,None,1.8
2025-07-24 00:00:00,Thursday,No,No,None,No,None,12.6
2025-07-25 00:00:00,Friday,No,Yes,None,No,None,2.3
2025-07-26 00:00:00,Saturday,Yes,Yes,None,No,None,5
2025-07-27 00:00:00,Sunday,Yes,Yes,None,No,None,1.2
2025-07-28 00:00:00,Monday,No,Yes,None,No,None,13.4
2025-07-29 00:00:00,Tuesday,No,No,None,No,None,2.8
2025-07-30 00:00:00,Wednesday,No,Yes,None,No,None,8.5
2025-07-31 00:00:00,Thursday,No,No,None,No,None,1.2
2025-08-01 00:00:00,Friday,No,Yes,None,No,None,4.8
2025-08-02 00:00:00,Saturday,Yes,Yes,None,No,None,2.2
2025-08-03 00:00:00,Sunday,Yes,No,None,No,None,1.3
2025-08-04 00:00:00,Monday,No,No,None,No,None,4.8
2025-08-05 00:00:00,Tuesday,No,Yes,None,No,Major Event,12.6
2025-08-06 00:00:00,Wednesday,No,No,None,No,None,1.9
2025-08-07 00:00:00,Thursday,No,Yes,None,No,None,4.8
2025-08-08 00:00:00,Friday,No,No,None,No,Major Event,7.3
2025-08-09 00:00:00,Saturday,Yes,No,None,No,None,3.4
2025-08-10 00:00:00,Sunday,Yes,Yes,None,No,None,1
2025-08-11 00:00:00,Monday,No,No,None,No,None,7.2
2025-08-12 00:00:00,Tuesday,No,No,None,No,None,6
2025-08-13 00:00:00,Wednesday,No,No,None,No,None,2.9
2025-08-14 00:00:00,Thursday,No,No,None,No,None,1
2025-08-15 00:00:00,Friday,No,No,Independence Day,Yes,None,1.9
2025-08-16 00:00:00,Saturday,Yes,No,None,No,Major Event,2.3
2025-08-17 00:00:00,Sunday,Yes,No,None,No,None,4.4
2025-08-18 00:00:00,Monday,No,No,None,No,None,17.7
2025-08-19 00:00:00,Tuesday,No,No,None,No,None,3.7
2025-08-20 00:00:00,Wednesday,No,No,None,No,None,4.3
2025-08-21 00:00:00,Thursday,No,No,None,No,None,3.4
2025-08-22 00:00:00,Friday,No,No,None,No,None,8
2025-08-23 00:00:00,Saturday,Yes,No,None,No,None,9.9
2025-08-24 00:00:00,Sunday,Yes,No,None,No,None,5.7
2025-08-25 00:00:00,Monday,No,Yes,None,No,None,3.2
2025-08-26 00:00:00,Tuesday,No,Yes,None,No,None,14.1
2025-08-27 00:00:00,Wednesday,No,Yes,None,No,None,8.9
2025-08-28 00:00:00,Thursday,No,Yes,None,No,Major Event,6.9
2025-08-29 00:00:00,Friday,No,No,None,No,None,3.6
2025-08-30 00:00:00,Saturday,Yes,Yes,None,No,None,6.6
2025-08-31 00:00:00,Sunday,Yes,No,None,No,None,7
2025-09-01 00:00:00,Monday,No,Yes,None,No,None,15.8
2025-09-02 00:00:00,Tuesday,No,Yes,None,No,None,8.8
2025-09-03 00:00:00,Wednesday,No,No,None,No,None,1.3
2025-09-04 00:00:00,Thursday,No,No,None,No,None,2.8
2025-09-05 00:00:00,Friday,No,Yes,None,No,None,23.4
2025-09-06 00:00:00,Saturday,Yes,No,None,No,Major Event,13
2025-09-07 00:00:00,Sunday,Yes,Yes,None,No,None,5.7
2025-09-08 00:00:00,Monday,No,No,None,No,None,5.8
2025-09-09 00:00:00,Tuesday,No,No,None,No,None,1.3
2025-09-10 00:00:00,Wednesday,No,Yes,None,No,None,5.9
2025-09-11 00:00:00,Thursday,No,No,None,No,None,10.5
2025-09-12 00:00:00,Friday,No,No,None,No,None,3.5
2025-09-13 00:00:00,Saturday,Yes,No,None,No,None,3
2025-09-14 00:00:00,Sunday,Yes,No,None,No,None,5.7
2025-09-15 00:00:00,Monday,No,No,None,No,None,0.8
2025-09-16 00:00:00,Tuesday,No,No,None,No,None,10.2
2025-09-17 00:00:00,Wednesday,No,No,None,No,None,9.3
2025-09-18 00:00:00,Thursday,No,No,None,No,None,9.2
2025-09-19 00:00:00,Friday,No,No,None,No,None,3.3
2025-09-20 00:00:00,Saturday,Yes,No,None,No,None,7.6
2025-09-21 00:00:00,Sunday,Yes,No,None,No,None,11.3
2025-09-22 00:00:00,Monday,No,No,None,No,None,2.5
2025-09-23 00:00:00,Tuesday,No,No,None,No,None,4.2
2025-09-24 00:00:00,Wednesday,No,No,None,No,None,9.4
2025-09-25 00:00:00,Thursday,No,Yes,None,No,None,6.7
2025-09-26 00:00:00,Friday,No,Yes,None,No,None,1.5
2025-09-27 00:00:00,Saturday,Yes,Yes,None,No,None,3.2
2025-09-28 00:00:00,Sunday,Yes,Yes,None,No,None,3.6
2025-09-29 00:00:00,Monday,No,No,None,No,None,12
2025-09-30 00:00:00,Tuesday,No,Yes,None,No,None,2.5
2025-10-01 00:00:00,Wednesday,No,Yes,None,No,None,12.2
2025-10-02 00:00:00,Thursday,No,Yes,None,No,None,0.3
2025-10-03 00:00:00,Friday,No,No,None,No,None,3.8
2025-10-04 00:00:00,Saturday,Yes,No,None,No,None,9.8
2025-10-05 00:00:00,Sunday,Yes,Yes,None,No,None,2.2
2025-10-06 00:00:00,Monday,No,No,None,No,None,8.2
2025-10-07 00:00:00,Tuesday,No,Yes,None,No,None,2.7
2025-10-08 00:00:00,Wednesday,No,No,None,No,None,3.6
2025-10-09 00:00:00,Thursday,No,No,None,No,None,2.9
2025-10-10 00:00:00,Friday,No,Yes,None,No,None,2.8
2025-10-11 00:00:00,Saturday,Yes,No,None,No,None,1.4
2025-10-12 00:00:00,Sunday,Yes,No,None,No,None,2.8
2025-10-13 00:00:00,Monday,No,No,None,No,None,22.3
2025-10-14 00:00:00,Tuesday,No,No,None,No,None,14.5
2025-10-15 00:00:00,Wednesday,No,No,None,No,None,1.8
2025-10-16 00:00:00,Thursday,No,No,None,No,None,2.2
2025-10-17 00:00:00,Friday,No,No,None,No,Major Event,2.6
2025-10-18 00:00:00,Saturday,Yes,No,None,No,None,1.9
2025-10-19 00:00:00,Sunday,Yes,No,None,No,None,1.8
2025-10-20 00:00:00,Monday,No,No,Diwali,Yes,None,4.7
2025-10-21 00:00:00,Tuesday,No,No,None,No,None,3.2
2025-10-22 00:00:00,Wednesday,No,No,None,No,None,13.8
2025-10-23 00:00:00,Thursday,No,No,None,No,None,2.7
2025-10-24 00:00:00,Friday,No,No,None,No,None,2.9
2025-10-25 00:00:00,Saturday,Yes,Yes,None,No,None,4.1
2025-10-26 00:00:00,Sunday,Yes,Yes,None,No,None,2.9
2025-10-27 00:00:00,Monday,No,Yes,None,No,None,2.3
2025-10-28 00:00:00,Tuesday,No,Yes,None,No,None,2.1
2025-10-29 00:00:00,Wednesday,No,No,None,No,None,5
2025-10-30 00:00:00,Thursday,No,Yes,None,No,None,1.6
2025-10-31 00:00:00,Friday,No,No,None,No,None,6.9
2025-11-01 00:00:00,Saturday,Yes,Yes,None,No,None,19.2
2025-11-02 00:00:00,Sunday,Yes,Yes,None,No,None,2.4
2025-11-03 00:00:00,Monday,No,No,None,No,None,7.6
2025-11-04 00:00:00,Tuesday,No,No,None,No,None,2.5
2025-11-05 00:00:00,Wednesday,No,Yes,None,No,None,4.9
2025-11-06 00:00:00,Thursday,No,No,None,No,None,12.1
2025-11-07 00:00:00,Friday,No,Yes,None,No,None,2.6
2025-11-08 00:00:00,Saturday,Yes,No,None,No,None,1.4
2025-11-09 00:00:00,Sunday,Yes,No,None,No,None,5.2
2025-11-10 00:00:00,Monday,No,Yes,None,No,None,9.3
2025-11-11 00:00:00,Tuesday,No,No,None,No,None,4.4
2025-11-12 00:00:00,Wednesday,No,No,None,No,None,11.2
2025-11-13 00:00:00,Thursday,No,No,None,No,None,0.9
2025-11-14 00:00:00,Friday,No,No,None,No,None,3
2025-11-15 00:00:00,Saturday,Yes,No,None,No,None,2.3
2025-11-16 00:00:00,Sunday,Yes,No,None,No,Major Event,7.8
2025-11-17 00:00:00,Monday,No,No,None,No,None,1.5
2025-11-18 00:00:00,Tuesday,No,No,None,No,None,1.8
2025-11-19 00:00:00,Wednesday,No,No,None,No,None,5.6
2025-11-20 00:00:00,Thursday,No,No,None,No,None,5
2025-11-21 00:00:00,Friday,No,No,None,No,None,7.1
2025-11-22 00:00:00,Saturday,Yes,No,None,No,None,8.4
2025-11-23 00:00:00,Sunday,Yes,No,None,No,None,1.9
2025-11-24 00:00:00,Monday,No,No,None,No,Major Event,1.4
2025-11-25 00:00:00,Tuesday,No,Yes,None,No,None,9.3
2025-11-26 00:00:00,Wednesday,No,Yes,None,No,None,7.9
2025-11-27 00:00:00,Thursday,No,Yes,None,No,None,11
2025-11-28 00:00:00,Friday,No,Yes,None,No,None,4.5
2025-11-29 00:00:00,Saturday,Yes,No,None,No,None,3.8
2025-11-30 00:00:00,Sunday,Yes,Yes,None,No,None,7.2
2025-12-01 00:00:00,Monday,No,Yes,None,No,None,1.6
2025-12-02 00:00:00,Tuesday,No,Yes,None,No,None,12.2
2025-12-03 00:00:00,Wednesday,No,No,None,No,None,4.7
2025-12-04 00:00:00,Thursday,No,No,None,No,None,3.2
2025-12-05 00:00:00,Friday,No,Yes,None,No,None,2
2025-12-06 00:00:00,Saturday,Yes,No,None,No,None,0.6
2025-12-07 00:00:00,Sunday,Yes,Yes,None,No,None,9.7
2025-12-08 00:00:00,Monday,No,No,None,No,None,3
2025-12-09 00:00:00,Tuesday,No,No,None,No,None,3.9
2025-12-10 00:00:00,Wednesday,No,Yes,None,No,None,5
2025-12-11 00:00:00,Thursday,No,No,None,No,None,13
2025-12-12 00:00:00,Friday,No,No,None,No,Major Event,0.4
2025-12-13 00:00:00,Saturday,Yes,No,None,No,None,3.2
2025-12-14 00:00:00,Sunday,Yes,No,None,No,None,4.3
2025-12-15 00:00:00,Monday,No,No,None,No,None,0.8
2025-12-16 00:00:00,Tuesday,No,No,None,No,None,3.8
2025-12-17 00:00:00,Wednesday,No,No,None,No,None,12.4
2025-12-18 00:00:00,Thursday,No,No,None,No,None,6.1
2025-12-19 00:00:00,Friday,No,No,None,No,None,18
2025-12-20 00:00:00,Saturday,Yes,No,None,No,Major Event,15.1
2025-12-21 00:00:00,Sunday,Yes,No,None,No,None,2.6
2025-12-22 00:00:00,Monday,No,No,None,No,None,5.4
2025-12-23 00:00:00,Tuesday,No,No,None,No,Major Event,1.4
2025-12-24 00:00:00,Wednesday,No,No,None,No,None,1.4
2025-12-25 00:00:00,Thursday,No,Yes,Christmas,Yes,None,3.2
2025-12-26 00:00:00,Friday,No,Yes,None,No,None,13.9
2025-12-27 00:00:00,Saturday,Yes,Yes,None,No,None,9.2
2025-12-28 00:00:00,Sunday,Yes,Yes,None,No,None,5.3
2025-12-29 00:00:00,Monday,No,No,None,No,None,8.2
2025-12-30 00:00:00,Tuesday,No,Yes,None,No,None,17.4
2025-12-31 00:00:00,Wednesday,No,No,None,No,None,9.6
