Transaction_ID,ATM_ID,Transaction_Date,Transaction_Time,Withdrawal_Amount,Transaction_Count_10_Min,Previous_ATM,Distance_From_Previous_ATM_km,Night_Transaction,Large_Withdrawal,Fraud_Flag,Fraud_Reason
TXN000051,ATM1009,2025-03-01 00:00:00,21:26,5000,3,ATM1019,57.3,NO,NO,Review,Distant ATM activity
TXN000052,ATM1015,2025-08-05 00:00:00,21:49,3000,1,None,0,NO,NO,Normal,None
TXN000053,ATM1003,2025-12-17 00:00:00,01:01,10000,4,ATM1019,55.4,YES,NO,Review,Distant ATM activity
TXN000054,ATM1023,2025-01-10 00:00:00,10:20,5000,3,None,0,NO,NO,Normal,None
TXN000055,ATM1018,2025-10-12 00:00:00,03:15,2000,2,None,0,YES,NO,Review,Night-time transaction
TXN000056,ATM1033,2025-08-31 00:00:00,03:31,3000,2,None,0,YES,NO,Review,Night-time transaction
TXN000057,ATM1044,2025-11-21 00:00:00,10:49,2000,3,None,0,NO,NO,Normal,None
TXN000058,ATM1038,2025-03-27 00:00:00,20:54,3000,4,None,0,NO,NO,Normal,None
TXN000059,ATM1035,2025-02-04 00:00:00,01:38,2000,1,None,0,YES,NO,Review,Night-time transaction
TXN000060,ATM1006,2025-06-13 00:00:00,01:27,10000,3,None,0,YES,NO,Review,Night-time transaction
TXN000061,ATM1047,2025-08-19 00:00:00,04:45,3000,4,ATM1048,37.7,YES,NO,Review,Night-time transaction
TXN000062,ATM1045,2025-07-25 00:00:00,17:11,5000,4,None,0,NO,NO,Normal,None
TXN000063,ATM1006,2025-11-06 00:00:00,02:54,1000,4,None,0,YES,NO,Review,Night-time transaction
TXN000064,ATM1008,2025-02-22 00:00:00,17:09,2000,2,None,0,NO,NO,Normal,None
TXN000065,ATM1006,2025-10-01 00:00:00,12:47,2000,2,None,0,NO,NO,Normal,None
TXN000066,ATM1026,2025-09-15 00:00:00,18:27,3000,4,None,0,NO,NO,Normal,None
TXN000067,ATM1041,2025-08-14 00:00:00,13:00,1000,5,None,0,NO,NO,Normal,None
TXN000068,ATM1014,2025-02-19 00:00:00,13:10,10000,3,None,0,NO,NO,Normal,None
TXN000069,ATM1029,2025-06-30 00:00:00,20:41,10000,3,None,0,NO,NO,Normal,None
TXN000070,ATM1042,2025-06-30 00:00:00,17:43,2000,2,None,0,NO,NO,Normal,None
TXN000071,ATM1022,2025-10-26 00:00:00,07:22,3000,1,None,0,NO,NO,Normal,None
TXN000072,ATM1027,2025-09-22 00:00:00,21:18,5000,2,None,0,NO,NO,Normal,None
TXN000073,ATM1028,2025-10-11 00:00:00,07:33,5000,6,None,0,NO,NO,Review,Multiple withdrawals in 10 minutes
TXN000074,ATM1048,2025-03-21 00:00:00,21:20,1000,1,ATM1010,16.4,NO,NO,Normal,None
TXN000075,ATM1031,2025-04-17 00:00:00,06:37,1000,3,None,0,NO,NO,Normal,None
TXN000076,ATM1010,2025-01-28 00:00:00,12:47,3000,2,None,0,NO,NO,Normal,None
TXN000077,ATM1038,2025-06-05 00:00:00,11:21,3000,3,None,0,NO,NO,Normal,None
TXN000078,ATM1007,2025-05-20 00:00:00,06:54,2000,2,None,0,NO,NO,Normal,None
TXN000079,ATM1050,2025-05-24 00:00:00,16:24,1000,2,None,0,NO,NO,Normal,None
TXN000080,ATM1022,2025-07-18 00:00:00,01:28,5000,2,None,0,YES,NO,Review,Night-time transaction
TXN000081,ATM1029,2025-09-26 00:00:00,15:54,3000,2,None,0,NO,NO,Normal,None
TXN000082,ATM1049,2025-10-05 00:00:00,08:25,20000,1,None,0,NO,YES,Review,Large withdrawal
TXN000083,ATM1033,2025-10-01 00:00:00,06:53,5000,2,ATM1039,28.8,NO,NO,Normal,None
TXN000084,ATM1049,2025-03-22 00:00:00,17:37,5000,5,None,0,NO,NO,Normal,None
TXN000085,ATM1011,2025-01-30 00:00:00,00:07,2000,3,None,0,NO,NO,Normal,None
TXN000086,ATM1004,2025-07-24 00:00:00,23:26,2000,1,ATM1034,18.6,NO,NO,Normal,None
TXN000087,ATM1041,2025-04-28 00:00:00,11:52,3000,5,None,0,NO,NO,Normal,None
TXN000088,ATM1004,2025-07-20 00:00:00,13:57,2000,1,None,0,NO,NO,Normal,None
TXN000089,ATM1001,2025-12-28 00:00:00,21:51,3000,4,None,0,NO,NO,Normal,None
TXN000090,ATM1015,2025-02-17 00:00:00,07:46,3000,3,None,0,NO,NO,Normal,None
TXN000091,ATM1036,2025-11-27 00:00:00,09:10,10000,1,None,0,NO,NO,Normal,None
TXN000092,ATM1034,2025-03-26 00:00:00,02:30,500,1,None,0,YES,NO,Review,Night-time transaction
TXN000093,ATM1029,2025-10-20 00:00:00,18:02,10000,1,None,0,NO,NO,Normal,None
TXN000094,ATM1026,2025-03-03 00:00:00,00:43,2000,2,None,0,NO,NO,Normal,None
TXN000095,ATM1010,2025-11-01 00:00:00,01:04,1000,3,None,0,YES,NO,Review,Night-time transaction
TXN000096,ATM1013,2025-07-24 00:00:00,09:47,3000,2,None,0,NO,NO,Normal,None
TXN000097,ATM1030,2025-12-10 00:00:00,16:08,2000,1,None,0,NO,NO,Normal,None
TXN000098,ATM1006,2025-01-07 00:00:00,20:47,3000,1,None,0,NO,NO,Normal,None
TXN000099,ATM1003,2025-02-10 00:00:00,16:01,500,3,None,0,NO,NO,Normal,None
TXN000100,ATM1032,2025-02-20 00:00:00,13:33,20000,2,None,0,NO,YES,Review,Large withdrawal
TXN000101,ATM1022,2025-06-03 00:00:00,23:01,3000,1,None,0,NO,NO,Normal,None
TXN000102,ATM1025,2025-02-12 00:00:00,09:52,500,1,None,0,NO,NO,Normal,None
TXN000103,ATM1025,2025-02-09 00:00:00,14:31,5000,3,None,0,NO,NO,Normal,None
TXN000104,ATM1011,2025-04-28 00:00:00,06:43,3000,2,None,0,NO,NO,Normal,None
TXN000105,ATM1033,2025-10-14 00:00:00,04:11,20000,4,None,0,YES,YES,Review,Night-time transaction
TXN000106,ATM1022,2025-08-27 00:00:00,23:11,2000,6,None,0,NO,NO,Review,Multiple withdrawals in 10 minutes
TXN000107,ATM1024,2025-07-28 00:00:00,11:51,10000,2,None,0,NO,NO,Normal,None
TXN000108,ATM1013,2025-04-22 00:00:00,09:35,10000,4,None,0,NO,NO,Normal,None
TXN000109,ATM1048,2025-07-19 00:00:00,15:49,10000,2,None,0,NO,NO,Normal,None
TXN000110,ATM1004,2025-11-12 00:00:00,20:13,5000,1,None,0,NO,NO,Normal,None
TXN000111,ATM1036,2025-02-13 00:00:00,09:43,5000,4,None,0,NO,NO,Normal,None
TXN000112,ATM1018,2025-07-11 00:00:00,14:56,3000,3,None,0,NO,NO,Normal,None
TXN000113,ATM1019,2025-04-01 00:00:00,06:18,5000,2,None,0,NO,NO,Normal,None
TXN000114,ATM1006,2025-07-16 00:00:00,16:41,2000,4,ATM1027,40.8,NO,NO,Review,Distant ATM activity
TXN000115,ATM1047,2025-10-25 00:00:00,12:33,2000,3,None,0,NO,NO,Normal,None
TXN000116,ATM1042,2025-07-17 00:00:00,17:24,5000,2,None,0,NO,NO,Normal,None
TXN000117,ATM1002,2025-10-05 00:00:00,20:11,20000,1,None,0,NO,YES,Review,Large withdrawal
TXN000118,ATM1002,2025-10-12 00:00:00,02:19,3000,3,None,0,YES,NO,Review,Night-time transaction
TXN000119,ATM1018,2025-01-31 00:00:00,05:25,1000,3,None,0,NO,NO,Normal,None
TXN000120,ATM1012,2025-11-08 00:00:00,20:12,3000,4,None,0,NO,NO,Normal,None
TXN000121,ATM1006,2025-01-23 00:00:00,05:29,1000,3,None,0,NO,NO,Normal,None
TXN000122,ATM1027,2025-08-05 00:00:00,15:38,2000,2,ATM1041,40.5,NO,NO,Review,Distant ATM activity
TXN000123,ATM1023,2025-07-31 00:00:00,16:14,2000,4,ATM1022,55.9,NO,NO,Review,Distant ATM activity
TXN000124,ATM1035,2025-10-27 00:00:00,09:46,10000,3,None,0,NO,NO,Normal,None
TXN000125,ATM1014,2025-03-01 00:00:00,22:41,1000,3,None,0,NO,NO,Normal,None
TXN000126,ATM1012,2025-07-07 00:00:00,22:08,2000,5,None,0,NO,NO,Normal,None
TXN000127,ATM1039,2025-01-03 00:00:00,09:06,5000,4,ATM1044,42.4,NO,NO,Review,Distant ATM activity
TXN000128,ATM1001,2025-07-21 00:00:00,01:42,3000,4,ATM1031,39.3,YES,NO,Review,Night-time transaction
TXN000129,ATM1014,2025-07-14 00:00:00,06:14,5000,1,None,0,NO,NO,Normal,None
TXN000130,ATM1016,2025-05-02 00:00:00,16:27,2000,1,None,0,NO,NO,Normal,None
TXN000131,ATM1002,2025-09-02 00:00:00,21:58,5000,5,None,0,NO,NO,Normal,None
TXN000132,ATM1017,2025-07-15 00:00:00,23:06,2000,2,None,0,NO,NO,Normal,None
TXN000133,ATM1010,2025-02-27 00:00:00,05:55,5000,2,None,0,NO,NO,Normal,None
TXN000134,ATM1050,2025-06-25 00:00:00,06:45,10000,3,None,0,NO,NO,Normal,None
TXN000135,ATM1038,2025-05-14 00:00:00,21:04,5000,2,ATM1030,22.9,NO,NO,Normal,None
TXN000136,ATM1042,2025-10-19 00:00:00,23:31,3000,2,None,0,NO,NO,Normal,None
TXN000137,ATM1009,2025-05-04 00:00:00,03:26,3000,5,None,0,YES,NO,Review,Night-time transaction
TXN000138,ATM1040,2025-04-10 00:00:00,01:11,5000,2,None,0,YES,NO,Review,Night-time transaction
TXN000139,ATM1006,2025-11-20 00:00:00,18:02,2000,3,None,0,NO,NO,Normal,None
TXN000140,ATM1005,2025-08-28 00:00:00,09:39,5000,3,ATM1038,36.9,NO,NO,Normal,None
TXN000141,ATM1025,2025-11-30 00:00:00,07:26,5000,2,ATM1024,38.4,NO,NO,Normal,None
TXN000142,ATM1006,2025-08-14 00:00:00,11:22,5000,1,None,0,NO,NO,Normal,None
TXN000143,ATM1008,2025-01-02 00:00:00,03:34,5000,3,None,0,YES,NO,Review,Night-time transaction
TXN000144,ATM1010,2025-06-09 00:00:00,17:16,10000,3,None,0,NO,NO,Normal,None
TXN000145,ATM1047,2025-02-27 00:00:00,03:32,5000,2,None,0,YES,NO,Review,Night-time transaction
TXN000146,ATM1047,2025-06-26 00:00:00,16:50,10000,3,None,0,NO,NO,Normal,None
TXN000147,ATM1013,2025-05-06 00:00:00,14:47,5000,4,None,0,NO,NO,Normal,None
TXN000148,ATM1010,2025-02-16 00:00:00,02:40,2000,1,None,0,YES,NO,Review,Night-time transaction
TXN000149,ATM1030,2025-09-03 00:00:00,22:36,5000,3,None,0,NO,NO,Normal,None
TXN000150,ATM1035,2025-09-22 00:00:00,07:18,2000,5,None,0,NO,NO,Normal,None
TXN000151,ATM1023,2025-06-13 00:00:00,14:04,3000,2,None,0,NO,NO,Normal,None
TXN000152,ATM1009,2025-06-29 00:00:00,07:26,1000,2,None,0,NO,NO,Normal,None
TXN000153,ATM1026,2025-11-22 00:00:00,21:22,5000,3,None,0,NO,NO,Normal,None
TXN000154,ATM1044,2025-11-29 00:00:00,10:06,3000,5,None,0,NO,NO,Normal,None
TXN000155,ATM1023,2025-10-12 00:00:00,12:28,3000,2,None,0,NO,NO,Normal,None
TXN000156,ATM1037,2025-04-28 00:00:00,03:37,10000,2,None,0,YES,NO,Review,Night-time transaction
TXN000157,ATM1016,2025-10-10 00:00:00,14:37,5000,2,None,0,NO,NO,Normal,None
TXN000158,ATM1042,2025-11-27 00:00:00,00:44,5000,3,None,0,NO,NO,Normal,None
TXN000159,ATM1020,2025-04-10 00:00:00,10:44,2000,3,None,0,NO,NO,Normal,None
TXN000160,ATM1012,2025-09-21 00:00:00,01:00,5000,1,None,0,YES,NO,Review,Night-time transaction
TXN000161,ATM1024,2025-11-20 00:00:00,12:55,500,4,None,0,NO,NO,Normal,None
TXN000162,ATM1035,2025-10-19 00:00:00,12:23,2000,1,None,0,NO,NO,Normal,None
TXN000163,ATM1036,2025-03-15 00:00:00,19:26,3000,1,None,0,NO,NO,Normal,None
TXN000164,ATM1034,2025-09-15 00:00:00,02:34,3000,2,None,0,YES,NO,Review,Night-time transaction
TXN000165,ATM1012,2025-05-15 00:00:00,23:10,5000,2,None,0,NO,NO,Normal,None
TXN000166,ATM1034,2025-11-08 00:00:00,22:01,500,3,None,0,NO,NO,Normal,None
TXN000167,ATM1012,2025-03-01 00:00:00,16:07,10000,3,None,0,NO,NO,Normal,None
TXN000168,ATM1023,2025-03-08 00:00:00,07:55,10000,1,None,0,NO,NO,Normal,None
TXN000169,ATM1027,2025-12-30 00:00:00,19:54,1000,4,None,0,NO,NO,Normal,None
TXN000170,ATM1013,2025-01-01 00:00:00,20:39,1000,1,None,0,NO,NO,Normal,None
TXN000171,ATM1028,2025-05-01 00:00:00,16:54,5000,3,ATM1012,9.9,NO,NO,Normal,None
TXN000172,ATM1034,2025-03-03 00:00:00,15:58,2000,2,ATM1040,41.1,NO,NO,Review,Distant ATM activity
TXN000173,ATM1018,2025-09-18 00:00:00,09:11,2000,4,None,0,NO,NO,Normal,None
TXN000174,ATM1004,2025-06-11 00:00:00,10:09,10000,2,None,0,NO,NO,Normal,None
TXN000175,ATM1050,2025-08-30 00:00:00,21:15,3000,2,None,0,NO,NO,Normal,None
TXN000176,ATM1034,2025-02-12 00:00:00,19:18,1000,3,ATM1028,26.4,NO,NO,Normal,None
TXN000177,ATM1012,2025-09-27 00:00:00,18:12,500,2,None,0,NO,NO,Normal,None
TXN000178,ATM1042,2025-04-19 00:00:00,09:25,5000,3,None,0,NO,NO,Normal,None
TXN000179,ATM1044,2025-11-13 00:00:00,07:33,5000,1,None,0,NO,NO,Normal,None
TXN000180,ATM1010,2025-12-29 00:00:00,03:18,1000,2,None,0,YES,NO,Review,Night-time transaction
TXN000181,ATM1032,2025-06-02 00:00:00,04:15,500,4,None,0,YES,NO,Review,Night-time transaction
TXN000182,ATM1037,2025-06-18 00:00:00,23:36,500,4,None,0,NO,NO,Normal,None
TXN000183,ATM1021,2025-03-16 00:00:00,03:54,1000,4,ATM1001,9.4,YES,NO,Review,Night-time transaction
TXN000184,ATM1010,2025-08-17 00:00:00,21:52,1000,2,None,0,NO,NO,Normal,None
TXN000185,ATM1022,2025-01-28 00:00:00,07:49,5000,2,None,0,NO,NO,Normal,None
TXN000186,ATM1005,2025-01-19 00:00:00,14:23,10000,4,None,0,NO,NO,Normal,None
TXN000187,ATM1026,2025-05-30 00:00:00,17:59,2000,4,ATM1046,19.8,NO,NO,Normal,None
TXN000188,ATM1018,2025-07-09 00:00:00,05:03,3000,3,None,0,NO,NO,Normal,None
TXN000189,ATM1011,2025-01-04 00:00:00,02:52,5000,4,None,0,YES,NO,Review,Night-time transaction
TXN000190,ATM1017,2025-09-29 00:00:00,07:35,1000,3,None,0,NO,NO,Normal,None
TXN000191,ATM1030,2025-05-06 00:00:00,07:23,2000,3,None,0,NO,NO,Normal,None
TXN000192,ATM1016,2025-07-25 00:00:00,17:08,2000,2,None,0,NO,NO,Normal,None
TXN000193,ATM1049,2025-09-21 00:00:00,06:21,5000,1,None,0,NO,NO,Normal,None
TXN000194,ATM1037,2025-11-21 00:00:00,04:22,1000,4,None,0,YES,NO,Review,Night-time transaction
TXN000195,ATM1029,2025-05-05 00:00:00,16:37,1000,2,None,0,NO,NO,Normal,None
TXN000196,ATM1019,2025-03-07 00:00:00,00:59,5000,1,None,0,NO,NO,Normal,None
TXN000197,ATM1001,2025-03-06 00:00:00,21:22,3000,2,None,0,NO,NO,Normal,None
TXN000198,ATM1047,2025-12-03 00:00:00,09:02,2000,2,None,0,NO,NO,Normal,None
TXN000199,ATM1023,2025-02-19 00:00:00,08:06,2000,2,None,0,NO,NO,Normal,None
TXN000200,ATM1047,2025-09-29 00:00:00,13:11,5000,1,None,0,NO,NO,Normal,None
TXN000201,ATM1049,2025-04-14 00:00:00,16:30,3000,6,None,0,NO,NO,Review,Multiple withdrawals in 10 minutes
TXN000202,ATM1034,2025-08-18 00:00:00,19:24,5000,3,None,0,NO,NO,Normal,None
TXN000203,ATM1017,2025-01-11 00:00:00,12:27,2000,4,ATM1036,2,NO,NO,Normal,None
TXN000204,ATM1044,2025-08-14 00:00:00,22:52,10000,3,ATM1042,29,NO,NO,Normal,None
TXN000205,ATM1044,2025-03-07 00:00:00,22:07,5000,1,None,0,NO,NO,Normal,None
TXN000206,ATM1002,2025-11-05 00:00:00,06:21,500,2,None,0,NO,NO,Normal,None
TXN000207,ATM1013,2025-05-19 00:00:00,02:40,500,1,None,0,YES,NO,Review,Night-time transaction
TXN000208,ATM1011,2025-02-28 00:00:00,18:54,1000,2,None,0,NO,NO,Normal,None
TXN000209,ATM1026,2025-05-20 00:00:00,16:04,10000,1,None,0,NO,NO,Normal,None
TXN000210,ATM1006,2025-08-04 00:00:00,20:57,5000,2,None,0,NO,NO,Normal,None
TXN000211,ATM1009,2025-06-28 00:00:00,05:15,10000,4,None,0,NO,NO,Normal,None
TXN000212,ATM1002,2025-06-08 00:00:00,10:08,1000,2,None,0,NO,NO,Normal,None
TXN000213,ATM1006,2025-10-31 00:00:00,11:50,10000,3,None,0,NO,NO,Normal,None
TXN000214,ATM1023,2025-12-04 00:00:00,19:08,2000,2,None,0,NO,NO,Normal,None
TXN000215,ATM1008,2025-07-13 00:00:00,04:03,1000,3,None,0,YES,NO,Review,Night-time transaction
TXN000216,ATM1038,2025-05-27 00:00:00,04:57,5000,6,None,0,YES,NO,Review,Multiple withdrawals in 10 minutes
TXN000217,ATM1001,2025-12-08 00:00:00,00:28,10000,3,ATM1043,3.6,NO,NO,Normal,None
TXN000218,ATM1040,2025-09-01 00:00:00,20:29,500,2,None,0,NO,NO,Normal,None
TXN000219,ATM1035,2025-05-28 00:00:00,22:51,3000,4,None,0,NO,NO,Normal,None
TXN000220,ATM1001,2025-01-23 00:00:00,07:30,20000,3,None,0,NO,YES,Review,Large withdrawal
TXN000221,ATM1001,2025-09-27 00:00:00,14:20,3000,4,None,0,NO,NO,Normal,None
TXN000222,ATM1022,2025-12-23 00:00:00,02:44,3000,1,None,0,YES,NO,Review,Night-time transaction
TXN000223,ATM1036,2025-11-01 00:00:00,17:19,5000,2,None,0,NO,NO,Normal,None
TXN000224,ATM1030,2025-05-26 00:00:00,16:25,500,3,None,0,NO,NO,Normal,None
TXN000225,ATM1042,2025-03-04 00:00:00,15:57,2000,3,None,0,NO,NO,Normal,None
TXN000226,ATM1033,2025-01-23 00:00:00,04:16,3000,2,None,0,YES,NO,Review,Night-time transaction
TXN000227,ATM1005,2025-12-30 00:00:00,23:50,3000,2,None,0,NO,NO,Normal,None
TXN000228,ATM1050,2025-12-30 00:00:00,12:26,20000,3,None,0,NO,YES,Review,Large withdrawal
TXN000229,ATM1008,2025-10-27 00:00:00,03:51,5000,4,None,0,YES,NO,Review,Night-time transaction
TXN000230,ATM1009,2025-02-08 00:00:00,00:50,10000,1,None,0,NO,NO,Normal,None
TXN000231,ATM1001,2025-05-27 00:00:00,22:01,2000,4,None,0,NO,NO,Normal,None
TXN000232,ATM1006,2025-06-19 00:00:00,19:40,500,2,ATM1016,35.4,NO,NO,Normal,None
TXN000233,ATM1014,2025-06-15 00:00:00,15:07,3000,2,None,0,NO,NO,Normal,None
TXN000234,ATM1039,2025-06-09 00:00:00,11:11,3000,6,None,0,NO,NO,Review,Multiple withdrawals in 10 minutes
TXN000235,ATM1020,2025-04-15 00:00:00,23:43,3000,1,None,0,NO,NO,Normal,None
TXN000236,ATM1001,2025-03-28 00:00:00,10:38,2000,3,None,0,NO,NO,Normal,None
TXN000237,ATM1003,2025-04-09 00:00:00,04:40,3000,2,None,0,YES,NO,Review,Night-time transaction
TXN000238,ATM1031,2025-11-04 00:00:00,16:21,5000,4,ATM1023,46.4,NO,NO,Review,Distant ATM activity
TXN000239,ATM1021,2025-01-19 00:00:00,06:59,10000,1,None,0,NO,NO,Normal,None
TXN000240,ATM1031,2025-08-24 00:00:00,20:57,3000,4,None,0,NO,NO,Normal,None
TXN000241,ATM1033,2025-02-27 00:00:00,21:43,10000,4,None,0,NO,NO,Normal,None
TXN000242,ATM1022,2025-07-02 00:00:00,08:22,5000,1,None,0,NO,NO,Normal,None
TXN000243,ATM1035,2025-08-19 00:00:00,06:12,5000,1,None,0,NO,NO,Normal,None
TXN000244,ATM1038,2025-05-28 00:00:00,07:45,3000,2,None,0,NO,NO,Normal,None
TXN000245,ATM1023,2025-08-06 00:00:00,01:11,2000,1,None,0,YES,NO,Review,Night-time transaction
TXN000246,ATM1019,2025-09-10 00:00:00,18:18,1000,5,None,0,NO,NO,Normal,None
TXN000247,ATM1003,2025-11-17 00:00:00,05:37,1000,2,None,0,NO,NO,Normal,None
TXN000248,ATM1049,2025-07-07 00:00:00,10:44,10000,4,ATM1041,14.2,NO,NO,Normal,None
TXN000249,ATM1021,2025-08-19 00:00:00,05:27,5000,2,None,0,NO,NO,Normal,None
TXN000250,ATM1042,2025-03-01 00:00:00,23:56,5000,2,None,0,NO,NO,Normal,None
TXN000251,ATM1030,2025-04-12 00:00:00,12:45,5000,3,None,0,NO,NO,Normal,None
TXN000252,ATM1008,2025-03-15 00:00:00,18:44,5000,3,None,0,NO,NO,Normal,None
TXN000253,ATM1041,2025-12-01 00:00:00,21:58,5000,2,None,0,NO,NO,Normal,None
TXN000254,ATM1008,2025-05-15 00:00:00,00:24,5000,2,None,0,NO,NO,Normal,None
TXN000255,ATM1009,2025-12-01 00:00:00,07:06,5000,4,None,0,NO,NO,Normal,None
TXN000256,ATM1007,2025-10-04 00:00:00,12:53,5000,1,None,0,NO,NO,Normal,None
TXN000257,ATM1042,2025-06-11 00:00:00,10:07,2000,5,None,0,NO,NO,Normal,None
TXN000258,ATM1037,2025-08-31 00:00:00,12:37,2000,3,None,0,NO,NO,Normal,None
TXN000259,ATM1034,2025-08-25 00:00:00,16:30,3000,6,None,0,NO,NO,Review,Multiple withdrawals in 10 minutes
TXN000260,ATM1017,2025-03-29 00:00:00,09:36,3000,2,None,0,NO,NO,Normal,None
TXN000261,ATM1015,2025-04-06 00:00:00,15:29,10000,3,None,0,NO,NO,Normal,None
TXN000262,ATM1020,2025-11-20 00:00:00,10:58,5000,3,None,0,NO,NO,Normal,None
TXN000263,ATM1032,2025-12-06 00:00:00,17:59,5000,1,None,0,NO,NO,Normal,None
TXN000264,ATM1016,2025-09-04 00:00:00,08:30,10000,4,None,0,NO,NO,Normal,None
