Transaction_ID,ATM_ID,Transaction_Date,Transaction_Time,Transaction_Type,Withdrawal_Amount,Card_Type,Response_Time_sec,Transaction_Status,Failure_Reason
TXN000102,ATM1025,2025-02-12 00:00:00,09:52,Cash Withdrawal,500,Debit,6.3,Success,None
TXN000103,ATM1025,2025-02-09 00:00:00,14:31,Cash Withdrawal,5000,Debit,4.2,Success,None
TXN000104,ATM1011,2025-04-28 00:00:00,06:43,Cash Withdrawal,3000,Debit,5.8,Success,None
TXN000105,ATM1033,2025-10-14 00:00:00,04:11,Cash Withdrawal,20000,Debit,7.7,Success,None
TXN000106,ATM1022,2025-08-27 00:00:00,23:11,Cash Withdrawal,2000,Debit,4.5,Success,None
TXN000107,ATM1024,2025-07-28 00:00:00,11:51,Cash Withdrawal,10000,Debit,14.3,Success,None
TXN000108,ATM1013,2025-04-22 00:00:00,09:35,Cash Withdrawal,10000,Credit,6.9,Success,None
TXN000109,ATM1048,2025-07-19 00:00:00,15:49,Cash Withdrawal,10000,Debit,1.4,Success,None
TXN000110,ATM1004,2025-11-12 00:00:00,20:13,Cash Withdrawal,5000,Debit,3.6,Success,None
TXN000111,ATM1036,2025-02-13 00:00:00,09:43,Cash Withdrawal,5000,Debit,2.9,Success,None
TXN000112,ATM1018,2025-07-11 00:00:00,14:56,Cash Withdrawal,3000,Debit,2.8,Success,None
TXN000113,ATM1019,2025-04-01 00:00:00,06:18,Cash Withdrawal,5000,Debit,4.6,Success,None
TXN000114,ATM1006,2025-07-16 00:00:00,16:41,Cash Withdrawal,2000,Debit,3.2,Failed,Insufficient Cash
TXN000115,ATM1047,2025-10-25 00:00:00,12:33,Cash Withdrawal,2000,Debit,8.1,Success,None
TXN000116,ATM1042,2025-07-17 00:00:00,17:24,Cash Withdrawal,5000,Credit,4.7,Success,None
TXN000117,ATM1002,2025-10-05 00:00:00,20:11,Cash Withdrawal,20000,Debit,5.5,Success,None
TXN000118,ATM1002,2025-10-12 00:00:00,02:19,Cash Withdrawal,3000,Debit,5.7,Success,None
TXN000119,ATM1018,2025-01-31 00:00:00,05:25,Cash Withdrawal,1000,Debit,3.9,Success,None
TXN000120,ATM1012,2025-11-08 00:00:00,20:12,Cash Withdrawal,3000,Debit,4.5,Success,None
TXN000121,ATM1006,2025-01-23 00:00:00,05:29,Cash Withdrawal,1000,Debit,3.3,Success,None
TXN000122,ATM1027,2025-08-05 00:00:00,15:38,Cash Withdrawal,2000,Debit,6.6,Success,None
TXN000123,ATM1023,2025-07-31 00:00:00,16:14,Cash Withdrawal,2000,Debit,5.3,Success,None
TXN000124,ATM1035,2025-10-27 00:00:00,09:46,Cash Withdrawal,10000,Debit,9.6,Success,None
TXN000125,ATM1014,2025-03-01 00:00:00,22:41,Cash Withdrawal,1000,Debit,5.2,Success,None
TXN000126,ATM1012,2025-07-07 00:00:00,22:08,Cash Withdrawal,2000,Debit,5.9,Success,None
TXN000127,ATM1039,2025-01-03 00:00:00,09:06,Cash Withdrawal,5000,Debit,9,Success,None
TXN000128,ATM1001,2025-07-21 00:00:00,01:42,Cash Withdrawal,3000,Debit,4.5,Success,None
TXN000129,ATM1014,2025-07-14 00:00:00,06:14,Cash Withdrawal,5000,Debit,2.2,Success,None
TXN000130,ATM1016,2025-05-02 00:00:00,16:27,Cash Withdrawal,2000,Debit,4.8,Success,None
TXN000131,ATM1002,2025-09-02 00:00:00,21:58,Cash Withdrawal,5000,Debit,4.9,Success,None
TXN000132,ATM1017,2025-07-15 00:00:00,23:06,Cash Withdrawal,2000,Debit,3,Success,None
TXN000133,ATM1010,2025-02-27 00:00:00,05:55,Cash Withdrawal,5000,Credit,3.3,Success,None
TXN000134,ATM1050,2025-06-25 00:00:00,06:45,Cash Withdrawal,10000,Debit,2.8,Success,None
TXN000135,ATM1038,2025-05-14 00:00:00,21:04,Cash Withdrawal,5000,Debit,3.3,Success,None
TXN000136,ATM1042,2025-10-19 00:00:00,23:31,Cash Withdrawal,3000,Debit,3.6,Success,None
TXN000137,ATM1009,2025-05-04 00:00:00,03:26,Cash Withdrawal,3000,Credit,4.9,Success,None
TXN000138,ATM1040,2025-04-10 00:00:00,01:11,Cash Withdrawal,5000,Debit,4.6,Success,None
TXN000139,ATM1006,2025-11-20 00:00:00,18:02,Cash Withdrawal,2000,Debit,5.2,Success,None
TXN000140,ATM1005,2025-08-28 00:00:00,09:39,Cash Withdrawal,5000,Debit,3.3,Success,None
TXN000141,ATM1025,2025-11-30 00:00:00,07:26,Cash Withdrawal,5000,Debit,3.5,Success,None
TXN000142,ATM1006,2025-08-14 00:00:00,11:22,Cash Withdrawal,5000,Debit,4.4,Success,None
TXN000143,ATM1008,2025-01-02 00:00:00,03:34,Cash Withdrawal,5000,Debit,4.2,Success,None
TXN000144,ATM1010,2025-06-09 00:00:00,17:16,Cash Withdrawal,10000,Debit,3,Success,None
TXN000145,ATM1047,2025-02-27 00:00:00,03:32,Cash Withdrawal,5000,Debit,3.6,Success,None
TXN000146,ATM1047,2025-06-26 00:00:00,16:50,Cash Withdrawal,10000,Debit,6.7,Success,None
TXN000147,ATM1013,2025-05-06 00:00:00,14:47,Cash Withdrawal,5000,Debit,8,Success,None
TXN000148,ATM1010,2025-02-16 00:00:00,02:40,Cash Withdrawal,2000,Debit,9.7,Success,None
TXN000149,ATM1030,2025-09-03 00:00:00,22:36,Cash Withdrawal,5000,Debit,6.9,Success,None
TXN000150,ATM1035,2025-09-22 00:00:00,07:18,Cash Withdrawal,2000,Debit,1.9,Success,None
TXN000151,ATM1023,2025-06-13 00:00:00,14:04,Cash Withdrawal,3000,Debit,9.4,Success,None
TXN000152,ATM1009,2025-06-29 00:00:00,07:26,Cash Withdrawal,1000,Debit,3.2,Success,None
TXN000153,ATM1026,2025-11-22 00:00:00,21:22,Cash Withdrawal,5000,Credit,8,Success,None
TXN000154,ATM1044,2025-11-29 00:00:00,10:06,Cash Withdrawal,3000,Debit,4.2,Success,None
TXN000155,ATM1023,2025-10-12 00:00:00,12:28,Cash Withdrawal,3000,Debit,4.6,Success,None
TXN000156,ATM1037,2025-04-28 00:00:00,03:37,Cash Withdrawal,10000,Debit,8.7,Success,None
TXN000157,ATM1016,2025-10-10 00:00:00,14:37,Cash Withdrawal,5000,Debit,9.5,Success,None
TXN000158,ATM1042,2025-11-27 00:00:00,00:44,Cash Withdrawal,5000,Debit,3.3,Success,None
TXN000159,ATM1020,2025-04-10 00:00:00,10:44,Cash Withdrawal,2000,Debit,7.7,Success,None
TXN000160,ATM1012,2025-09-21 00:00:00,01:00,Cash Withdrawal,5000,Debit,5.4,Success,None
TXN000161,ATM1024,2025-11-20 00:00:00,12:55,Cash Withdrawal,500,Debit,2.7,Success,None
TXN000162,ATM1035,2025-10-19 00:00:00,12:23,Cash Withdrawal,2000,Credit,3.8,Success,None
TXN000163,ATM1036,2025-03-15 00:00:00,19:26,Cash Withdrawal,3000,Debit,4.1,Success,None
TXN000164,ATM1034,2025-09-15 00:00:00,02:34,Cash Withdrawal,3000,Debit,3,Success,None
TXN000165,ATM1012,2025-05-15 00:00:00,23:10,Cash Withdrawal,5000,Debit,4.2,Success,None
TXN000166,ATM1034,2025-11-08 00:00:00,22:01,Cash Withdrawal,500,Debit,5.7,Success,None
TXN000167,ATM1012,2025-03-01 00:00:00,16:07,Cash Withdrawal,10000,Debit,3.6,Success,None
TXN000168,ATM1023,2025-03-08 00:00:00,07:55,Cash Withdrawal,10000,Debit,4.6,Success,None
TXN000169,ATM1027,2025-12-30 00:00:00,19:54,Cash Withdrawal,1000,Debit,9.7,Success,None
TXN000170,ATM1013,2025-01-01 00:00:00,20:39,Cash Withdrawal,1000,Debit,2.5,Success,None
TXN000171,ATM1028,2025-05-01 00:00:00,16:54,Cash Withdrawal,5000,Debit,4.9,Success,None
TXN000172,ATM1034,2025-03-03 00:00:00,15:58,Cash Withdrawal,2000,Debit,8,Success,None
TXN000173,ATM1018,2025-09-18 00:00:00,09:11,Cash Withdrawal,2000,Debit,4.8,Success,None
TXN000174,ATM1004,2025-06-11 00:00:00,10:09,Cash Withdrawal,10000,Debit,4.7,Success,None
TXN000175,ATM1050,2025-08-30 00:00:00,21:15,Cash Withdrawal,3000,Debit,5.7,Failed,Bank Declined
TXN000176,ATM1034,2025-02-12 00:00:00,19:18,Cash Withdrawal,1000,Credit,6.3,Success,None
TXN000177,ATM1012,2025-09-27 00:00:00,18:12,Cash Withdrawal,500,Debit,4.8,Success,None
TXN000178,ATM1042,2025-04-19 00:00:00,09:25,Cash Withdrawal,5000,Debit,3.7,Success,None
TXN000179,ATM1044,2025-11-13 00:00:00,07:33,Cash Withdrawal,5000,Debit,6,Success,None
TXN000180,ATM1010,2025-12-29 00:00:00,03:18,Cash Withdrawal,1000,Debit,5.3,Success,None
TXN000181,ATM1032,2025-06-02 00:00:00,04:15,Cash Withdrawal,500,Debit,5.2,Success,None
TXN000182,ATM1037,2025-06-18 00:00:00,23:36,Cash Withdrawal,500,Debit,4.7,Success,None
TXN000183,ATM1021,2025-03-16 00:00:00,03:54,Cash Withdrawal,1000,Debit,4.8,Success,None
TXN000184,ATM1010,2025-08-17 00:00:00,21:52,Cash Withdrawal,1000,Debit,6.5,Success,None
TXN000185,ATM1022,2025-01-28 00:00:00,07:49,Cash Withdrawal,5000,Debit,8.2,Success,None
TXN000186,ATM1005,2025-01-19 00:00:00,14:23,Cash Withdrawal,10000,Debit,3.3,Failed,Bank Declined
TXN000187,ATM1026,2025-05-30 00:00:00,17:59,Cash Withdrawal,2000,Debit,5.1,Success,None
TXN000188,ATM1018,2025-07-09 00:00:00,05:03,Cash Withdrawal,3000,Debit,6,Success,None
TXN000189,ATM1011,2025-01-04 00:00:00,02:52,Cash Withdrawal,5000,Debit,1.8,Success,None
TXN000190,ATM1017,2025-09-29 00:00:00,07:35,Cash Withdrawal,1000,Debit,2.1,Success,None
TXN000191,ATM1030,2025-05-06 00:00:00,07:23,Cash Withdrawal,2000,Debit,7,Success,None
TXN000192,ATM1016,2025-07-25 00:00:00,17:08,Cash Withdrawal,2000,Debit,3.1,Success,None
TXN000193,ATM1049,2025-09-21 00:00:00,06:21,Cash Withdrawal,5000,Debit,6.6,Success,None
TXN000194,ATM1037,2025-11-21 00:00:00,04:22,Cash Withdrawal,1000,Credit,7.9,Success,None
TXN000195,ATM1029,2025-05-05 00:00:00,16:37,Cash Withdrawal,1000,Debit,5.4,Success,None
TXN000196,ATM1019,2025-03-07 00:00:00,00:59,Cash Withdrawal,5000,Debit,3,Success,None
TXN000197,ATM1001,2025-03-06 00:00:00,21:22,Cash Withdrawal,3000,Debit,4.3,Success,None
TXN000198,ATM1047,2025-12-03 00:00:00,09:02,Cash Withdrawal,2000,Debit,2.7,Success,None
TXN000199,ATM1023,2025-02-19 00:00:00,08:06,Cash Withdrawal,2000,Debit,3.1,Success,None
TXN000200,ATM1047,2025-09-29 00:00:00,13:11,Cash Withdrawal,5000,Debit,6.8,Success,None
TXN000201,ATM1049,2025-04-14 00:00:00,16:30,Cash Withdrawal,3000,Debit,8.6,Success,None
TXN000202,ATM1034,2025-08-18 00:00:00,19:24,Cash Withdrawal,5000,Debit,4,Success,None
TXN000203,ATM1017,2025-01-11 00:00:00,12:27,Cash Withdrawal,2000,Credit,2.3,Success,None
TXN000204,ATM1044,2025-08-14 00:00:00,22:52,Cash Withdrawal,10000,Debit,4,Success,None
TXN000205,ATM1044,2025-03-07 00:00:00,22:07,Cash Withdrawal,5000,Credit,3,Success,None
TXN000206,ATM1002,2025-11-05 00:00:00,06:21,Cash Withdrawal,500,Debit,3.9,Success,None
TXN000207,ATM1013,2025-05-19 00:00:00,02:40,Cash Withdrawal,500,Debit,5.6,Success,None
TXN000208,ATM1011,2025-02-28 00:00:00,18:54,Cash Withdrawal,1000,Debit,2.3,Success,None
TXN000209,ATM1026,2025-05-20 00:00:00,16:04,Cash Withdrawal,10000,Credit,4.7,Success,None
TXN000210,ATM1006,2025-08-04 00:00:00,20:57,Cash Withdrawal,5000,Debit,4.5,Success,None
TXN000211,ATM1009,2025-06-28 00:00:00,05:15,Cash Withdrawal,10000,Debit,5.7,Success,None
TXN000212,ATM1002,2025-06-08 00:00:00,10:08,Cash Withdrawal,1000,Debit,3.5,Success,None
TXN000213,ATM1006,2025-10-31 00:00:00,11:50,Cash Withdrawal,10000,Debit,4.8,Success,None
TXN000214,ATM1023,2025-12-04 00:00:00,19:08,Cash Withdrawal,2000,Debit,3.7,Success,None
TXN000215,ATM1008,2025-07-13 00:00:00,04:03,Cash Withdrawal,1000,Debit,5.1,Success,None
TXN000216,ATM1038,2025-05-27 00:00:00,04:57,Cash Withdrawal,5000,Debit,6.2,Success,None
TXN000217,ATM1001,2025-12-08 00:00:00,00:28,Cash Withdrawal,10000,Debit,4.5,Success,None
TXN000218,ATM1040,2025-09-01 00:00:00,20:29,Cash Withdrawal,500,Debit,3.8,Success,None
TXN000219,ATM1035,2025-05-28 00:00:00,22:51,Cash Withdrawal,3000,Debit,6.7,Success,None
TXN000220,ATM1001,2025-01-23 00:00:00,07:30,Cash Withdrawal,20000,Debit,3.9,Success,None
TXN000221,ATM1001,2025-09-27 00:00:00,14:20,Cash Withdrawal,3000,Debit,5.9,Success,None
TXN000222,ATM1022,2025-12-23 00:00:00,02:44,Cash Withdrawal,3000,Credit,5,Success,None
TXN000223,ATM1036,2025-11-01 00:00:00,17:19,Cash Withdrawal,5000,Debit,3.4,Success,None
TXN000224,ATM1030,2025-05-26 00:00:00,16:25,Cash Withdrawal,500,Debit,7.4,Success,None
TXN000225,ATM1042,2025-03-04 00:00:00,15:57,Cash Withdrawal,2000,Debit,7.3,Success,None
TXN000226,ATM1033,2025-01-23 00:00:00,04:16,Cash Withdrawal,3000,Debit,5.2,Success,None
TXN000227,ATM1005,2025-12-30 00:00:00,23:50,Cash Withdrawal,3000,Debit,4.1,Success,None
TXN000228,ATM1050,2025-12-30 00:00:00,12:26,Cash Withdrawal,20000,Debit,3.3,Success,None
TXN000229,ATM1008,2025-10-27 00:00:00,03:51,Cash Withdrawal,5000,Credit,3.3,Success,None
TXN000230,ATM1009,2025-02-08 00:00:00,00:50,Cash Withdrawal,10000,Debit,5.3,Success,None
TXN000231,ATM1001,2025-05-27 00:00:00,22:01,Cash Withdrawal,2000,Debit,2.7,Success,None
TXN000232,ATM1006,2025-06-19 00:00:00,19:40,Cash Withdrawal,500,Debit,3.8,Success,None
TXN000233,ATM1014,2025-06-15 00:00:00,15:07,Cash Withdrawal,3000,Debit,5,Success,None
TXN000234,ATM1039,2025-06-09 00:00:00,11:11,Cash Withdrawal,3000,Debit,2.9,Success,None
TXN000235,ATM1020,2025-04-15 00:00:00,23:43,Cash Withdrawal,3000,Debit,3.5,Success,None
TXN000236,ATM1001,2025-03-28 00:00:00,10:38,Cash Withdrawal,2000,Debit,3.1,Success,None
TXN000237,ATM1003,2025-04-09 00:00:00,04:40,Cash Withdrawal,3000,Debit,7,Success,None
TXN000238,ATM1031,2025-11-04 00:00:00,16:21,Cash Withdrawal,5000,Debit,5.8,Success,None
TXN000239,ATM1021,2025-01-19 00:00:00,06:59,Cash Withdrawal,10000,Debit,2.1,Success,None
TXN000240,ATM1031,2025-08-24 00:00:00,20:57,Cash Withdrawal,3000,Debit,5.9,Success,None
TXN000241,ATM1033,2025-02-27 00:00:00,21:43,Cash Withdrawal,10000,Debit,6.5,Success,None
TXN000242,ATM1022,2025-07-02 00:00:00,08:22,Cash Withdrawal,5000,Debit,3.9,Success,None
TXN000243,ATM1035,2025-08-19 00:00:00,06:12,Cash Withdrawal,5000,Credit,8.8,Success,None
TXN000244,ATM1038,2025-05-28 00:00:00,07:45,Cash Withdrawal,3000,Debit,3.4,Success,None
TXN000245,ATM1023,2025-08-06 00:00:00,01:11,Cash Withdrawal,2000,Debit,7.7,Success,None
TXN000246,ATM1019,2025-09-10 00:00:00,18:18,Cash Withdrawal,1000,Debit,4.8,Success,None
TXN000247,ATM1003,2025-11-17 00:00:00,05:37,Cash Withdrawal,1000,Debit,1.9,Success,None
TXN000248,ATM1049,2025-07-07 00:00:00,10:44,Cash Withdrawal,10000,Debit,4.2,Success,None
TXN000249,ATM1021,2025-08-19 00:00:00,05:27,Cash Withdrawal,5000,Debit,8.4,Success,None
TXN000250,ATM1042,2025-03-01 00:00:00,23:56,Cash Withdrawal,5000,Debit,4.3,Success,None
TXN000251,ATM1030,2025-04-12 00:00:00,12:45,Cash Withdrawal,5000,Debit,3,Success,None
TXN000252,ATM1008,2025-03-15 00:00:00,18:44,Cash Withdrawal,5000,Debit,5.9,Success,None
